"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Signal range]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Resolution]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SIPA_A_043"	"Extraction"	""	""	"SIPA_A_043"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"SIPA_A_043"	"AlsaceSamples1781.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"STBE_C_052"	"Extraction"	""	""	"STBE_C_052"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"STBE_C_052"	"AlsaceSamples1809.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"STBE_A_063"	"Extraction"	""	""	"STBE_A_063"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"STBE_A_063"	"AlsaceSamples1843.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"STBE_B_075"	"Extraction"	""	""	"STBE_B_075"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"STBE_B_075"	"AlsaceSamples1879.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E095_A_027"	"Extraction"	""	""	"E095_A_027"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E095_A_027"	"AlsaceSamples1651.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E075_C_026"	"Extraction"	""	""	"E075_C_026"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E075_C_026"	"AlsaceSamples1654.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E060_B_025"	"Extraction"	""	""	"E060_B_025"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E060_B_025"	"AlsaceSamples1657.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E085_B_024"	"Extraction"	""	""	"E085_B_024"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E085_B_024"	"AlsaceSamples1660.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E075_A_022"	"Extraction"	""	""	"E075_A_022"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E075_A_022"	"AlsaceSamples1666.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E000_C_021"	"Extraction"	""	""	"E000_C_021"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E000_C_021"	"AlsaceSamples1669.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E035_C_020"	"Extraction"	""	""	"E035_C_020"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E035_C_020"	"AlsaceSamples1672.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E070_A_019"	"Extraction"	""	""	"E070_A_019"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E070_A_019"	"AlsaceSamples1675.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E010_A_002"	"Extraction"	""	""	"E010_A_002"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E010_A_002"	"AlsaceSamples1683.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E060_A_003"	"Extraction"	""	""	"E060_A_003"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E060_A_003"	"AlsaceSamples1686.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E085_C_004"	"Extraction"	""	""	"E085_C_004"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E085_C_004"	"AlsaceSamples1689.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E065_A_005"	"Extraction"	""	""	"E065_A_005"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E065_A_005"	"AlsaceSamples1692.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E010_C_006"	"Extraction"	""	""	"E010_C_006"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E010_C_006"	"AlsaceSamples1695.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E025_A_007"	"Extraction"	""	""	"E025_A_007"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E025_A_007"	"AlsaceSamples1698.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E030_B_008"	"Extraction"	""	""	"E030_B_008"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E030_B_008"	"AlsaceSamples1701.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E040_C_009"	"Extraction"	""	""	"E040_C_009"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E040_C_009"	"AlsaceSamples1704.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E005_B_010"	"Extraction"	""	""	"E005_B_010"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E005_B_010"	"AlsaceSamples1707.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E080_B_011"	"Extraction"	""	""	"E080_B_011"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E080_B_011"	"AlsaceSamples1710.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E035_A_013"	"Extraction"	""	""	"E035_A_013"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E035_A_013"	"AlsaceSamples1716.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E045_A_014"	"Extraction"	""	""	"E045_A_014"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E045_A_014"	"AlsaceSamples1719.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E045_C_015"	"Extraction"	""	""	"E045_C_015"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E045_C_015"	"AlsaceSamples1722.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E020_A_016"	"Extraction"	""	""	"E020_A_016"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E020_A_016"	"AlsaceSamples1725.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E075_B_018"	"Extraction"	""	""	"E075_B_018"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E075_B_018"	"AlsaceSamples1731.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E055_C_028"	"Extraction"	""	""	"E055_C_028"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E055_C_028"	"AlsaceSamples1736.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E015_C_029"	"Extraction"	""	""	"E015_C_029"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E015_C_029"	"AlsaceSamples1739.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E055_A_030"	"Extraction"	""	""	"E055_A_030"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E055_A_030"	"AlsaceSamples1742.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E070_C_031"	"Extraction"	""	""	"E070_C_031"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E070_C_031"	"AlsaceSamples1745.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E100_C_032"	"Extraction"	""	""	"E100_C_032"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E100_C_032"	"AlsaceSamples1748.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E040_A_033"	"Extraction"	""	""	"E040_A_033"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E040_A_033"	"AlsaceSamples1751.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E000_A_035"	"Extraction"	""	""	"E000_A_035"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E000_A_035"	"AlsaceSamples1757.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E035_B_036"	"Extraction"	""	""	"E035_B_036"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E035_B_036"	"AlsaceSamples1760.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E020_B_039"	"Extraction"	""	""	"E020_B_039"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E020_B_039"	"AlsaceSamples1769.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E010_B_041"	"Extraction"	""	""	"E010_B_041"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E010_B_041"	"AlsaceSamples1775.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E030_A_042"	"Extraction"	""	""	"E030_A_042"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E030_A_042"	"AlsaceSamples1778.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E055_B_044"	"Extraction"	""	""	"E055_B_044"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E055_B_044"	"AlsaceSamples1784.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E090_C_046"	"Extraction"	""	""	"E090_C_046"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"E090_C_046"	"AlsaceSamples1790.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
