"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Ionisation]"	"Term Source REF"	"Term Accession Number"
"4-hydroxyphenylpyruvic acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"4-hydroxyphenylpyruvic acid"	"4-hydroxyphenylpyruvic acid_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"7-hydroxycholesterol"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7-hydroxycholesterol"	"7-hydroxycholesterol.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"ABA"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ABA"	"ABA_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"ABA"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ABA byproduct peak"	"ABA-2.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Adenine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Adenine"	"Adenine_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Adonitol"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Adonitol"	"Adonitol FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Alanine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Alanine"	"Alanine_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Allose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Allose"	"Allose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Allose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Allose byproduct peak"	"Allose_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"alpha-Cholestane"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"alpha-Cholestane"	"alpha-Cholestane_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"alpha-keto Glutaric acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"alpha-keto Glutaric acid"	"alpha-keto Glutaric acid.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"alpha-keto Glutaric acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"alpha-keto Glutaric acid byproduct peak"	"alpha-keto Glutaric acid_2.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"alpha-Lactose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"alpha-Lactose"	"alpha-Lactose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"alpha-Mannofurauronic acid gamma lactone"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"alpha-Mannofurauronic acid gamma lactone"	"alpha-Mannofurauronic acid gamma lactone FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"alpha-Mannofurauronic acid gamma lactone"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"alpha-Mannofurauronic acid gamma lactone byproduct peak"	"alpha-Mannofurauronic acid gamma lactone_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Altrose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Altrose"	"Altrose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Altrose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Altrose byproduct peak"	"Altrose_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Anthranilic acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Anthranilic acid"	"Anthranilic acid_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Arabinose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Arabinose"	"Arabinose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Arabitol"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Arabitol"	"Arabitol FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Asparagine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Asparagine"	"Asparagine_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Aspartic acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Aspartic acid"	"Aspartic acid_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"beta-Alanine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"beta-Alanine"	"beta-Alanine_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"beta-Amyrin"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"beta-Amyrin"	"beta-Amyrin_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"beta-Gentiobiose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"beta-Gentiobiose"	"beta-Gentiobiose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"beta-Sitosterol"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"beta-Sitosterol"	"Betaine_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Betaine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Betaine"	"beta-Sitosterol_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
