Sample Name	Comment[Duplicate samples yes or no]	Comment[technology type]	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Protocol REF	Comment[Haplotype reconstruction]	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[haplotype dosage]	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Comment[HS.hdf5]
Outbred10	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping9	V59_RAT_11aug10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.2.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred100	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping10	V7R_RAT_03aug10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.2.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1000	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping11	VWR_RAT_09sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.2.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1001	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping12	VWS_RAT_09sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.2.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1002	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping13	VWT_RAT_13sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.2.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1003	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping14	VWU_RAT_13sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.2.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1006	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping15	VWX_RAT_13sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.2.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1007	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping16	VWY_RAT_13sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.3.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1008	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping17	VWZ_RAT_09sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.3.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1009	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping18	VX0_RAT_09sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.3.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred101	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping19	V7S_RAT_03aug10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.3.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1010	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping20	VX1_RAT_09sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.3.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1011	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping21	VX2_RAT_09sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.3.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1017	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping22	VX8_RAT_13sep10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.3.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
