"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"LivSet1-6"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-6"	"Sai_Liv_Set1_May_13_2015_082.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 5 bio rep 1, technical replicate 1"	""	""
"LivSet1-6"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-6(2)"	"Sai_Liv_Set1_May_13_2015_068.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 5 bio rep 1, technical replicate 2"	""	""
"LivSet1-7"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-7"	"Sai_Liv_Set1_May_13_2015_086.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 6 bio rep 1, technical replicate 1"	""	""
"LivSet1-7"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-7(2)"	"Sai_Liv_Set1_May_13_2015_121.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 6 bio rep 1, technical replicate 2"	""	""
"LivSet1-8"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-8"	"Sai_Liv_Set1_May_13_2015_081.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 7 bio rep 1, technical replicate 1"	""	""
"LivSet1-8"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-8(2)"	"Sai_Liv_Set1_May_13_2015_049.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 7 bio rep 1, technical replicate 2"	""	""
"LivSet1-9"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-9"	"Sai_Liv_Set1_May_13_2015_036.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 8 bio rep 1, technical replicate 1"	""	""
"LivSet1-9"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-9(2)"	"Sai_Liv_Set1_May_13_2015_080.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 8 bio rep 1, technical replicate 2"	""	""
"LivSet1-10"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-10"	"Sai_Liv_Set1_May_13_2015_100.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 9 bio rep 1, technical replicate 1"	""	""
"LivSet1-10"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-10(2)"	"Sai_Liv_Set1_May_13_2015_042.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 9 bio rep 1, technical replicate 2"	""	""
"LivSet1-11"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-11"	"Sai_Liv_Set1_May_13_2015_116.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 10 bio rep 1, technical replicate 1"	""	""
"LivSet1-11"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-11(2)"	"Sai_Liv_Set1_May_13_2015_025.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 10 bio rep 1, technical replicate 2"	""	""
"LivSet1-12"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-12"	"Sai_Liv_Set1_May_13_2015_105.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 11 bio rep 1, technical replicate 1"	""	""
"LivSet1-12"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-12(2)"	"Sai_Liv_Set1_May_13_2015_038.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 11 bio rep 1, technical replicate 2"	""	""
"LivSet1-13"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-13"	"Sai_Liv_Set1_May_13_2015_073.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 12 bio rep 1, technical replicate 1"	""	""
"LivSet1-13"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-13(2)"	"Sai_Liv_Set1_May_13_2015_114.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 12 bio rep 1, technical replicate 2"	""	""
"LivSet1-14"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-14"	"Sai_Liv_Set1_May_13_2015_018.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 13 bio rep 1, technical replicate 1"	""	""
"LivSet1-14"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-14(2)"	"Sai_Liv_Set1_May_13_2015_052.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 13 bio rep 1, technical replicate 2"	""	""
"LivSet1-15"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-15"	"Sai_Liv_Set1_May_13_2015_072.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 14 bio rep 1, technical replicate 1"	""	""
"LivSet1-15"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-15(2)"	"Sai_Liv_Set1_May_13_2015_032.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 14 bio rep 1, technical replicate 2"	""	""
"LivSet1-16"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-16"	"Sai_Liv_Set1_May_13_2015_058.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 15 bio rep 1, technical replicate 1"	""	""
"LivSet1-16"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-16(2)"	"Sai_Liv_Set1_May_13_2015_024.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 15 bio rep 1, technical replicate 2"	""	""
"LivSet1-17"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-17"	"Sai_Liv_Set1_May_13_2015_023.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 16 bio rep 1, technical replicate 1"	""	""
"LivSet1-17"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-17(2)"	"Sai_Liv_Set1_May_13_2015_099.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 16 bio rep 1, technical replicate 2"	""	""
"LivSet1-18"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-18"	"Sai_Liv_Set1_May_13_2015_066.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 17 bio rep 1, technical replicate 1"	""	""
"LivSet1-18"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-18(2)"	"Sai_Liv_Set1_May_13_2015_093.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 17 bio rep 1, technical replicate 2"	""	""
"LivSet1-19"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-19"	"Sai_Liv_Set1_May_13_2015_051.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 18 bio rep 1, technical replicate 1"	""	""
"LivSet1-19"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-19(2)"	"Sai_Liv_Set1_May_13_2015_019.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 18 bio rep 1, technical replicate 2"	""	""
"LivSet1-20"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"LivSet1-20"	"Sai_Liv_Set1_May_13_2015_091.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_liver_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"TP 19 bio rep 1, technical replicate 1"	""	""
