"Source Name"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[cell]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[compound]"	"Term Source REF"	"Term Accession Number"	"Factor Value[dose]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_zeo2"	"Zeocin"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C105427"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_zeo3"	"Zeocin"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C105427"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_cntrl1"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_cntrl2"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_cntrl3"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_PI1"	"EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_62913"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_PI2"	"EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_62913"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_PI3"	"EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_62913"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_mms1"	"methyl methanesulfonate"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_25255"	"medium dose"	""	""	"1+23(recovery)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_mms2"	"methyl methanesulfonate"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_25255"	"medium dose"	""	""	"1+23 (recovery)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_mms3"	"methyl methanesulfonate"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_25255"	"medium dose"	""	""	"1+23 (recovery)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_mms+PI1"	"Methyl methanesulfonate+PARP inhibitor"	""	""	"medium dose"	""	""	"48PI+1+23(MMS)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_mms+PI2"	"Methyl methanesulfonate+PARP inhibitor"	""	""	"medium dose"	""	""	"48PI+1+23(MMS)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex2_PIeffectMMS_mms+PI3"	"Methyl methanesulfonate+PARP inhibitor"	""	""	"medium dose"	""	""	"48PI+1+23(MMS)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_cntrl1"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_cntrl2"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_cntrl3"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_PI1"	"EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_62913"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_PI2"	"EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_62913"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_PI3"	"EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_62913"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_cisp1"	"cisplatin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27899"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_cisp2"	"cisplatin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27899"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_cisp3"	"cisplatin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27899"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_cisp+PI1"	"Cisplatin+PARP inhibitor"	""	""	"medium dose"	""	""	"24(Cisp)+48(PI)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_cisp+PI2"	"Cisplatin+PARP inhibitor"	""	""	"medium dose"	""	""	"24(Cisp)+48(PI)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex3_PIeffectcisp_cisp+PI3"	"Cisplatin+PARP inhibitor"	""	""	"medium dose"	""	""	"24(Cisp)+48(PI)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex4_Radiationeffect_cntrl1"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex4_Radiationeffect_cntrl2"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex4_Radiationeffect_cntrl3"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex4_Radiationeffect_rad1"	"Radiation Ionizing Radiotherapy"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15846"	"medium dose"	""	""	"8 Gy (sample extraction after 48 hours)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex4_Radiationeffect_rad2"	"Radiation Ionizing Radiotherapy"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15846"	"medium dose"	""	""	"8 Gy (sample extraction after 48 hours)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex4_Radiationeffect_rad3"	"Radiation Ionizing Radiotherapy"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15846"	"medium dose"	""	""	"8 Gy (sample extraction after 48 hours)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
