"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Infection Status]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Taurine 15N Labeling]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Media Taurine Abundance]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Glucose-6-13C Labeling]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Exogenous SBPase]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Exogenous BFP]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Lysate Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[SBPase Expression in Lysate]"	"Term Source REF"	"Term Accession Number"
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"AUN3"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"AUN4"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"AUN5"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"AUN6"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"AUN7"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"AUN8"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CTG1"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CTG2"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CTG3"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CTG4"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CTG5"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CTG6"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CTG7"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CTG8"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CUN1"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CUN2"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CUN3"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CUN4"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CUN5"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CUN6"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CUN7"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"CUN8"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ETG1"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ETG2"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ETG3"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ETG4"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ETG5"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ETG6"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ETG7"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ETG8"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"EUN1"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"EUN2"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"EUN3"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"EUN4"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"EUN5"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"EUN6"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"EUN7"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"EUN8"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"TA2"	"Infected Cells"	""	""	"Taurine 15N Labeled"	""	""	"2 mM Taurine Added"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"TA3"	"Infected Cells"	""	""	"Taurine 15N Labeled"	""	""	"2 mM Taurine Added"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"TA4"	"Infected Cells"	""	""	"Taurine 15N Labeled"	""	""	"2 mM Taurine Added"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"TA5"	"Infected Cells"	""	""	"Taurine 15N Labeled"	""	""	"2 mM Taurine Added"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"TA6"	"Infected Cells"	""	""	"Taurine 15N Labeled"	""	""	"2 mM Taurine Added"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"TC2"	"Infected Cells"	""	""	"Taurine 15N Labeled"	""	""	"2 mM Taurine Added"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"TC3"	"Infected Cells"	""	""	"Taurine 15N Labeled"	""	""	"2 mM Taurine Added"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
