MS_METABOLITE_DATA_START	
Samples	01_UK49	02_UK49	03_UK49	04_UK49	31_UK49	32_UK49	33_UK49	34_UK49	
dGDP-13C2[-H+]-	266188.05	38146.21		58206.73	20068.81	28645.57		4327.95	
dGDP-13C3[-H+]-	359529.40	380163.36	134432.08	185831.57	53699.44	97916.25	34948.62	17921.64	
dGDP-13C4[-H+]-	991720.79	698502.20	187160.33	333868.21	66915.68	138972.57	47496.35	23839.61	
dGDP-13C5[-H+]-	26652442.64	23428258.84	7729281.76	10267570.48	3822830.41	6678092.85	3235989.08	1286805.32	
dGDP-13C6[-H+]-									
D-Glucuronic-13C0[-H+]-	76599.57	25675.75	251977.06	346277.78					
D-Glucuronic-13C5[-H+]-			45022.26	47125.80					
D-Glucuronic-13C6[-H+]-	410273.98	394985.43	3425556.92	2383659.30	105404.17	248881.45	36852.61	39546.59	
dGTP-13C0[-H+]-	54088474.24	67728651.24	110903176.78	108886965.66	157290.42	309855.60	197731.81	136894.08	
dGTP-13C1[-H+]-			83302.60						
dGTP-13C2[-H+]-	288376.34	376857.89	781657.45	1039959.51					
dGTP-13C3[-H+]-	465182.64	429525.40	1265513.58	1291009.46					
dGTP-13C4[-H+]-	983309.86	975841.00	2016910.82	2284466.42					
dGTP-13C5[-H+]-	35102446.53	37697976.43	60659720.98	63377152.13	195177.87	335474.55	204040.98	127118.34	
dGTP-13C6[-H+]-									
dGTP-13C7[-H+]-									
D-Ribose and L-Arabinose-13C0[-H+]-			13183.15	30155.27				17722.43	
D-Ribose and L-Arabinose-13C5[-H+]-	290682.47	368846.00	401555.10	370705.13	295333.81	459581.85	370945.57	140516.49	
D-Ribulose-13C0[-H+]-	790721.87	884222.69	1476926.76	1213787.15	55688.41	22051.65	9328.21		
D-Ribulose-13C1[-H+]-									
D-Ribulose-13C2[-H+]-			5776.93	4222.72					
D-Ribulose-13C3[-H+]-	34630.28	16299.22	30165.86	41336.05					
D-Ribulose-13C4[-H+]-	16521.62		36889.06	14059.44					
D-Ribulose-13C5[-H+]-	1962407.23	2316741.48	5287446.35	2776304.00	259495.58	228030.89	165643.79	37623.17	
dTMP-13C0[-H+]-	76821.43		24304.41						
dUDP-13C0[-H+]-	42434.77		14318.15	4929.84	39162.67	65784.94		4030.69	
dUMP-13C0[-H+]-	44829.39	26161.77							
D-Xylose/D-Xylulose-13C0[-H+]-	22364.70		13183.15	30155.27					
D-Xylose/D-Xylulose-13C5[-H+]-	290682.47	368846.00	401555.10	325174.17	295002.23	459581.85	370945.57	140516.49	
E4P-13C0[-H+]-				4021.47	5215.59				
E4P-13C4[-H+]-	32160.22	30344.09	42767.02	64183.68		6241.21			
Erythrose-13C0[-H+]-	5307199.83	4382424.79	2854737.18	2684948.15	1876934.11	1951408.69	1780344.54	316947.78	
Erythrose-13C1[-H+]-									
Erythrose-13C4[-H+]-	69314.72	92889.80	36808.79	44275.76	34991.37	25105.71	33565.27	23482.61	
F16P-13C0[-H+]-				33538.26					
F16P-13C3[-H+]-				31761.00					
F16P-13C4[-H+]-				7480.85					
F16P-13C5[-H+]-				38511.18				5048.12	
F16P-13C6[-H+]-	12342.82	83364.32	104425.07	2121442.93	587312.11	737773.08	141571.14	367751.45	
F26P-13C0[-H+]-	559146.53	1138863.93	865777.78	946036.30	394363.67	1197821.67	742676.04	241034.17	
F26P-13C1[-H+]-									
F6P-13C0[-H+]-		46859.74	203920.82		39826.96	48169.38	20524.69		
F6P-13C2[-H+]-	29769.54		86335.15	42961.29					
F6P-13C3[-H+]-	38613.70	25246.60	40643.72	39753.28					
F6P-13C4[-H+]-	86516.32	90059.72	376549.12	113861.15					
F6P-13C5[-H+]-	73438.29	118270.25	100694.57	66297.78	8853.48	57902.35	51782.89	4879.49	
F6P-13C6[-H+]-	2289029.80	3914436.67	2349383.26	1555130.19	993454.75	2527185.10	2438339.18	485022.25	
Fumarate-13C0[-H+]-	11667276.64	10496038.60	14324962.47	12716473.94	1821550.57	2736134.39	1979227.03	546510.27	
Fumarate-13C1[-H+]-	284833.71	183471.46	537726.90	392532.58					
Fumarate-13C2[-H+]-	2050773.09	1758184.11	2517616.45	2192444.07	78647.38	88841.13	67745.95	15399.70	
Fumarate-13C3[-H+]-	2324866.91	2067397.12	2842577.61	2741912.30	30515.91	40393.08	44570.89	10306.89	
Fumarate-13C4[-H+]-	806728.66	574439.52	973926.20	1145148.32					
G1P-13C0[-H+]-		85054.47	31115.67		80744.45	76784.97	83856.65	25306.76	
G1P-13C5[-H+]-	50377.80	57721.49	114343.87	73404.95					
G1P-13C6[-H+]-	4718756.21	4649780.43	7002923.82	5490948.67	483130.96	1095538.61	771831.91	224396.82	
G6P-13C0[-H+]-	567784.02	320332.88	196826.70	373609.59	44633.73	62001.00	97899.79	7511.50	
G6P-13C1[-H+]-									
G6P-13C2[-H+]-	37635.63		34743.92	37256.60					
G6P-13C3[-H+]-	51292.28	105772.18	29969.76	36720.10			14441.01		
G6P-13C4[-H+]-	136270.02	155279.05	83645.36	65658.23					
G6P-13C5[-H+]-	230139.90	379005.43	119048.43	107637.09	21107.51	49996.91	50248.93	9018.96	
G6P-13C6[-H+]-	8250048.63	11992470.94	4914924.88	3859375.18	1663272.01	2341628.88	2730173.62	850596.52	
GalactitolAndSorbitol-13C0[-H+]-	3868389.38	4170432.20	691002.90	877481.99	708289.33	763958.35	417517.20	104983.72	
GalactitolAndSorbitol-13C1[-H+]-									
GalactitolAndSorbitol-13C5[-H+]-	87656.18	108327.60	277762.33	139853.66		58914.44	161818.11		
GalactitolAndSorbitol-13C6[-H+]-	5965853.05	9016171.18	9996919.62	6560497.93	1588927.39	3821853.59	6705022.33	1749069.25	
Galactose 6-phosphate-13C0[-H+]-	100922.02	330064.85	188841.63	145493.46	38228.26	158509.07	64755.45	11820.34	
Galactose 6-phosphate-13C3[-H+]-			17301.67	61577.18		16736.56			
Galactose 6-phosphate-13C5[-H+]-		32949.56	81294.21	91168.09	26930.62	13437.81	51474.04	18057.41	
Galactose 6-phosphate-13C6[-H+]-	3999870.11	5656401.40	6093208.48	6565273.57	2410067.51	5513108.19	3676063.52	1611850.06	
Galacturonic acid/D-Glucuronic acid-13C0[-H+]-	1984907.40	959954.36	1685653.79	1095989.81	224017.35	410891.93	264216.91	44287.78	
Galacturonic acid/D-Glucuronic acid-13C1[-H+]-									
Galacturonic acid/D-Glucuronic acid-13C5[-H+]-	15054.68		19378.61	17148.08		12171.68			
Galacturonic acid/D-Glucuronic acid-13C6[-H+]-	1333719.69	1055418.88	1461214.71	1398513.64	433738.36	1200436.09	737721.41	107548.10	
GDP-13C0[-H+]-	1261885.34	1275200.86	641918.40	737971.32	92971.79	145277.58	32012.03	40836.52	
GDP-13C1[-H+]-									
GDP-13C2[-H+]-	7488.90								
GDP-13C3[-H+]-			8586.42	8288.55					
GDP-13C4[-H+]-	30318.25	24148.53	7762.45	13451.63					
GDP-13C5[-H+]-	1571901.27	1535621.70	745548.30	942522.82	177037.71	339265.13	60662.82	79538.99	
GDP-13C6[-H+]-									
Glyceric acid-13C0[-H+]-	67078.62	37659.15	59467.89	65846.19	49773.88	8515.50	4604.45	19943.36	
Glyceric acid-13C3[-H+]-	1570302.32	2377136.45	2124101.01	2059584.73	375568.02	812228.52	388069.60	31035.27	
GMP-13C0[-H+]-	861297.66	306846.07	261375.06						
GMP-13C1[-H+]-					11983.44	100955.49			
GMP-13C5[-H+]-	763624.24	211976.80	97203.87		58533.86				
GSH-13C0[-H+]-	328394307.86	371496706.33	241482723.64	413655245.20	159126998.88	231441551.35	135932413.90	58462967.39	
GSH-13C1[-H+]-	12771510.58	13782578.36	10477518.37	13491741.46	5163128.03	9006988.68	4672473.43	2175229.16	
GSH-13C2[-H+]-	76014814.69	80597498.11	52502243.20	91806359.33	11515003.19	17065498.55	12545305.78	5248903.76	
GSH-13C3[-H+]-	34712510.74	34520611.12	22826470.00	42986747.41		4598083.08	3171175.76	1370040.21	
GSH-13C4[-H+]-	36530333.70	37160951.55	21674557.28	47695894.90	590917.40	274868.63	562237.04	332375.07	
GSH-13C5[-H+]-	27161976.35	25396472.08	15306543.44	35394454.44	100958.34		141283.03	86743.63	
GSH-13C6[-H+]-									
GTP-13C0[-H+]-	234331.57	235952.66	2485607.77	2129798.76		5178.98		5188.40	
GTP-13C1[-H+]-									
GTP-13C2[-H+]-			9902.70	11989.97					
GTP-13C3[-H+]-			36531.83	29980.13					
GTP-13C4[-H+]-			55613.69	44209.51					
GTP-13C5[-H+]-	288583.84	293540.93	3145960.20	2631551.17	8840.56	13445.05	9142.96	14723.75	
GTP-13C6[-H+]-									
Gulonic and Galactonic and Gluconic acid-13C0[-H+]-	3704437.75	1914785.29	2301371.14	2697788.69	1807203.50	1261378.60	903621.02	455879.38	
Gulonic and Galactonic and Gluconic acid-13C1[-H+]-									
Gulonic and Galactonic and Gluconic acid-13C2[-H+]-				5404.31					
Gulonic and Galactonic and Gluconic acid-13C3[-H+]-	8080.12		4066.71						
Gulonic and Galactonic and Gluconic acid-13C4[-H+]-				6909.95					
Gulonic and Galactonic and Gluconic acid-13C5[-H+]-	92058.49	83359.66	133169.36	165124.73	55083.17	160114.63	84378.39	33560.39	
Gulonic and Galactonic and Gluconic acid-13C6[-H+]-	5301512.73	3907821.06	3799579.88	4170737.85	3536355.09	5639913.35	3732640.21	1400013.77	
Hexoses-13C0[-H+]-	72974456.52	68640912.34	45013365.45	42976967.54	19965513.56	34725877.27	33363350.49	12079833.80	
Hexoses-13C1[-H+]-									
Hexoses-13C2[-H+]-									
Hexoses-13C5[-H+]-	686885.10	929452.74	751269.19		654031.22				
Hexoses-13C6[-H+]-	28286470.03	34123305.82	24491668.42	22777394.64	23889348.73	33470046.08	28406400.00	16032400.00	
IMP-13C0[-H+]-	16237.18								
IMP-13C5[-H+]-	25536.90								
Isocitrate-13C0[-H+]-		193757.30						66490.56	
Isocitrate-13C1[-H+]-			34104.21	29855.96					
Isocitrate-13C2[-H+]-	40861.88								
Itaconic acid-13C0[-H+]-	1571686.74	1894770.71	942330.07	755053.89	1196630.07	816684.91	561675.64	239057.77	
Itaconic acid-13C1[-H+]-									
Itaconic acid-13C4[-H+]-								9481.29	
Itaconic acid-13C5[-H+]-	16222.92	8583.90							
Lactate-13C0[-H+]-	68563419.27	53059221.08	39913241.42	35808056.03	39832427.09	43965939.76	31153008.74	11348596.04	
Lactate-13C1[-H+]-	1172275.02	161899.15	430418.22	932538.48					
Lactate-13C2[-H+]-	27904866.75	23521131.68	25256085.95	22894712.16	1515667.39	6700101.30	3376676.61	1141571.37	
Lactate-13C3[-H+]-	1122814385.34	998881915.47	1079719802.63	956190378.51	98442360.22	319750520.71	182882510.17	70465324.49	
L-Aspartic acid-13C0[-H+]-	84689309.42	89817681.65	58240905.82	65414404.10	46833013.70	85288674.62	65704943.20	16763761.19	
L-Aspartic acid-13C1[-H+]-	6416718.54	5927932.03	4757383.77	4308008.41	1949635.04	5318863.17	2919988.77	631016.50	
L-Aspartic acid-13C2[-H+]-	20373248.14	20092106.63	12580675.42	13403674.81	5294091.57	10023406.61	6835896.83	1797204.12	
L-Aspartic acid-13C3[-H+]-	20477617.50	20853551.83	13066917.22	15646564.60	3531996.00	6635370.82	4672147.07	1274426.47	
L-Aspartic acid-13C4[-H+]-	9010406.09	7144569.87	5086295.15	6745629.76	237551.54	110529.62	145821.02	39939.97	
L-Glutamic-13C0[-H+]-	959157320.07	948881506.87	909315530.13	827122253.85	312039559.42	688126062.27	576814790.45	176343772.23	
L-Glutamic-13C1[-H+]-	47990221.58	34365854.25	38769643.56	37008685.11	8093734.55	28726321.86	24269852.06	4960346.66	
L-Glutamic-13C2[-H+]-	293725209.99	277797793.77	282551845.09	237127122.23	38549516.80	75685000.70	66639334.30	17921100.18	
L-Glutamic-13C3[-H+]-	122914229.55	102133122.76	113265027.99	103785288.70	6977715.82	19253934.72	16681753.11	2989605.38	
L-Glutamic-13C4[-H+]-	148084664.79	113981915.85	123785045.76	128928676.33	4068265.97	2514121.99	2709693.55	647714.01	
L-Glutamic-13C5[-H+]-		87560814.95	91412907.47	104714180.60	912193.51	569008.00	562584.40	162149.57	
L-Xylonate-13C0[-H+]-	1512896.09	1236960.32	672363.07	944182.68	781919.05	767703.70	589112.40	212239.45	
L-Xylonate-13C1[-H+]-									
L-Xylonate-13C4[-H+]-	8605.40		3308.73						
L-Xylonate-13C5[-H+]-	683029.88	643744.78	456086.48	502558.91	546856.07	688868.63	729200.90	129656.49	
Malate-13C0[-H+]-	56459539.60	64526913.40	43915943.35	45693092.82	13153092.75	22553540.09	11165121.43	3634243.74	
Malate-13C1[-H+]-	3357674.01	3037113.05	2624547.13	2609480.35	279440.91	832385.01	248061.09	146232.24	
Malate-13C2[-H+]-	13398981.75	13682659.74	10923863.05	11261553.71	1247155.56	1844363.66	847216.02	344313.11	
Malate-13C3[-H+]-	14330457.99	15497716.73	11587708.86	13401950.36	816246.50	1271670.81	636647.35	261181.20	
Malate-13C4[-H+]-	6948847.09	5789495.61	4719024.20	5996383.75	86986.60	40139.05	17309.00	22464.59	
Mannose 6-phosphate-13C0[-H+]-	265355.75	59183.24	149713.74	469083.99	24951.37	10668.11	14401.14		
Mannose 6-phosphate-13C1[-H+]-				14804.55					
Mannose 6-phosphate-13C2[-H+]-			8644.64	23993.83					
Mannose 6-phosphate-13C3[-H+]-	71322.52	23330.17	49989.32	64365.06					
Mannose 6-phosphate-13C4[-H+]-	30766.02			53288.55					
Mannose 6-phosphate-13C5[-H+]-	114117.03	111003.22	155749.95	163159.72		34249.46	12395.65		
Mannose 6-phosphate-13C6[-H+]-	3551114.12	3863886.88	4029932.71	3677775.39	686433.84	1299789.15	530619.28	149847.80	
N-Acetylglutamic-13C0[-H+]-	7214678.96	5333377.73	9267972.72	6487581.37	1678754.79	3691808.77	3346747.18	574476.50	
N-Acetylglutamic-13C1[-H+]-	203271.69	76024.78	317331.51	229641.55					
N-Acetylglutamic-13C2[-H+]-	7177552.48	6455785.68	7415691.93	7376623.64	545433.93	736662.58	558855.59	129865.83	
N-Acetylglutamic-13C3[-H+]-	959058.76	620003.59	1400128.31	1115236.04		73736.88	24503.04	4492.19	
N-Acetylglutamic-13C4[-H+]-	3669171.61	2688005.08	4032847.50	3758451.86	65522.76	81538.57	49201.78	10958.43	
N-Acetylglutamic-13C5[-H+]-	1804715.63	1046729.24	1865444.44	1858920.42		15311.32	11316.26		
N-Acetylglutamic-13C6[-H+]-	1789574.82	1116905.62	1680271.19	1908770.29	5660.48				
N-Acetylglutamic-13C7[-H+]-	1363908.83	758948.46	1200170.33	1524316.56					
NADH-13C0[-H+]-	131384.16	110260.44	275985.95	228589.57		37246.99	6376.75	25198.71	
NADH-13C1[-H+]-									
NADH-13C10[-H+]-	148203.57	198355.55	385004.74	527610.75	17493.75	104731.07	46712.18	71301.08	
NADH-13C11[-H+]-									
NADH-13C2[-H+]-				82.27					
NADH-13C4[-H+]-			26767.16	26364.67					
NADH-13C5[-H+]-	332772.56	458336.36	1095817.91	1249938.06	31803.44	111919.78	62623.42	87265.45	
NADH-13C6[-H+]-									
NADH-13C7[-H+]-									
NADH-13C8[-H+]-			12893.32	11822.63					
NADH-13C9[-H+]-			18980.56	27967.63					
Pantothenic acid-13C0[-H+]-	48712862.25	52732317.33	46102570.21	37716279.84	18767978.40	42348702.47	28431466.11	10009808.52	
Pantothenic acid-13C1[-H+]-									
Pantothenic acid-13C2[-H+]-									
PEP-13C0[-H+]-	17590.87	11589.82	27280.89	24453.44					
PEP-13C2[-H+]-			6190.76						
PEP-13C3[-H+]-	810805.97	870899.14	1317040.40	720946.36	180261.37	357018.99	182901.38	27222.01	
Phosphocreatine-13C0[-H+]-	1331471.79	1596718.53	1035984.10	1268928.90	676311.89	2062707.07	1001046.41	363153.59	
Phosphocreatine-13C1[-H+]-									
Phosphoserine-13C0[-H+]-	71354.25	43762.25		7634.19	16407.59		96976.01	24181.43	
Pyroglutamic acid-13C0[-H+]-	107791013.13	108033864.24	105734363.97	93718727.06	52881040.38	91356926.75	69854887.84	20364861.44	
Pyroglutamic acid-13C1[-H+]-			234602.84	27656.11					
Pyroglutamic acid-13C2[-H+]-	1895490.57	1551170.73	2182728.16	1981617.56	43815.44	321229.58	365133.03	125692.39	
Pyroglutamic acid-13C3[-H+]-	629626.27	550557.92	974303.40	1032662.07	12912.42	27050.25	71009.89	17216.59	
Pyroglutamic acid-13C4[-H+]-	728390.65	572221.39	795098.04	959304.95			22569.90	4262.53	
Pyroglutamic acid-13C5[-H+]-	520863.64	402725.53	577901.32	793903.39				4248.34	
Pyruvate-13C0[-H+]-	4481682.88	2292821.58	1773194.19	1724926.29	2340393.36	2438904.21	2959958.23	879131.87	
Pyruvate-13C1[-H+]-									
Pyruvate-13C2[-H+]-	262488.48	86654.13	186652.31	133369.01	9842.14	35365.99	37245.29		
Pyruvate-13C3[-H+]-	26131316.47	20807565.24	19297927.61	15870549.24	2859367.73	6822125.83	5651793.35	1951395.54	
R1P-13C0[-H+]-	53130.89	59032.80	48764.67	33309.70	32203.33	36947.60			
R1P-13C5[-H+]-	151001.29	145757.74	277134.66	208335.28	67319.82	143186.52	10485.25	11204.23	
R5P-13C0[-H+]-	790721.87	884222.69	1476926.76	1213787.15	55688.41	22051.65	9328.21		
R5P-13C1[-H+]-									
R5P-13C2[-H+]-			5776.93	4222.72					
R5P-13C3[-H+]-	31473.13	43732.26	52186.16	39895.13					
R5P-13C4[-H+]-			36400.65	14091.40					
R5P-13C5[-H+]-	1962590.85	2316738.11	5287449.06	2776303.82	259495.58	228030.89	165643.79	37623.17	
S7P-13C0[-H+]-	94547.29	111563.59	86744.48	95648.75	9035.43				
S7P-13C1[-H+]-									
S7P-13C2[-H+]-	328921.96	393509.75	428897.25	259303.98	21563.06	24713.20	12932.65		
S7P-13C3[-H+]-		3182.43		814.74					
S7P-13C4[-H+]-	16028.50	18461.33	20399.24	14073.14					
S7P-13C5[-H+]-	203743.42	203571.51	352267.74	214252.06	15390.82	14554.44	9644.31		
S7P-13C6[-H+]-	24511.97	38563.09	33961.01	27568.70	5081.55	10461.43			
S7P-13C7[-H+]-	1020696.02	1610391.17	1565666.49	1035689.82	215996.98	338255.44	244108.90	55030.63	
Succinate-13C0[-H+]-	140245496.38	129526551.48	74447980.15	77699811.13	35090625.42	48606767.45	34540098.57	7096114.44	
Succinate-13C1[-H+]-	872658.15	398495.18	611162.83	868044.74		62202.17			
Succinate-13C2[-H+]-	7003786.63	6514465.65	6651060.69	5552411.09	373069.78	543196.53	265151.31	99013.47	
Succinate-13C3[-H+]-	9246300.66	10490016.80	8093579.63	10506639.66	59137.01	29958.30	25375.58	7392.51	
Succinate-13C4[-H+]-	2372473.75	2040721.84	1807963.65	2164443.56	14381.09				
SucroseAndDischarrides-13C0[-H+]-						121596.63			
SucroseAndDischarrides-13C1[-H+]-			26457.54	12996.31			5251.79		
SucroseAndDischarrides-13C10[-H+]-	28560.87		14048.11						
SucroseAndDischarrides-13C11[-H+]-	555064.04	518760.18	409883.49	456316.18	17937.02	53920.60	64297.44	33468.43	
SucroseAndDischarrides-13C12[-H+]-	10282378.61	10633117.66	7194502.16	7544592.42	1572633.17	2902174.55	2539197.36	1090628.44	
SucroseAndDischarrides-13C6[-H+]-	109169.38	106685.47	92873.75	91321.99			20764.42		
SucroseAndDischarrides-13C9[-H+]-	83878.23	61757.48	25884.39	49805.23					
Taurine-13C0[-H+]-	364413791.74	330542889.24	260751396.66	262420393.65	86793035.80	105970573.91	96713613.32	42250315.72	
Taurine-13C1[-H+]-									
UDP-13C0[-H+]-	1773808.71	1970190.58	666629.23	852567.23	662296.48	556062.79	181613.42	204790.05	
UDP-13C1[-H+]-									
UDP-13C5[-H+]-	136704.51	104619.74	18948.07	35722.12	34278.35	39085.05	12218.97	9221.83	
UDP-13C6[-H+]-	30079.07			5901.65					
UDP-13C7[-H+]-	66020.25	36858.43	4032.31						
UDP-13C8[-H+]-	36375.12	17597.11		6068.79					
