metabolite number	metabolite name	metabolite identifier	05_UK21(normalized corrected peak area)	07_UK21(normalized corrected peak area)	13_UK21(normalized corrected peak area)	15_UK21(normalized corrected peak area)
128	GalactitolAndSorbitol-13C6[-H+]-	ME131709	18993815.72	23492115.20	10197398.39	4871371.88
129	Galactose 6-phosphate-13C0[-H+]-	ME131710	5033.71	8918.24	52723.80	22576.62
130	Galactose 6-phosphate-13C3[-H+]-	ME131711	7897.39	9211.90	13434.90	9945.55
131	Galactose 6-phosphate-13C5[-H+]-	ME131712	29247.14	34600.83	59160.12	43695.93
132	Galactose 6-phosphate-13C6[-H+]-	ME131713	2081027.27	2423413.62	3770873.90	2970407.29
133	Galacturonic acid-13C0[-H+]-	ME131714	520638.65	541190.85	113719.20	198873.07
134	Galacturonic acid-13C1[-H+]-	ME131715	None	None	None	None
135	Galacturonic acid-13C5[-H+]-	ME131716	None	4563.82	None	3667.37
136	Galacturonic acid-13C6[-H+]-	ME131717	737356.07	665741.56	436420.61	520861.88
137	GDP-13C0[-H+]-	ME131718	56830.15	101019.41	29625.01	13452.31
138	GDP-13C5[-H+]-	ME131719	93922.87	197769.14	73476.76	30566.52
139	Glyceric acid-13C0[-H+]-	ME131720	4467.84	None	None	None
140	Glyceric acid-13C3[-H+]-	ME131721	274851.52	250680.07	111048.15	80997.63
141	GMP -13C0[-H+]-	ME131722	2470781.38	3093769.85	918815.94	508960.44
142	GMP -13C1[-H+]-	ME131723	None	None	None	None
143	GMP -13C4[-H+]-	ME131724	None	None	5902.54	None
144	GMP -13C5[-H+]-	ME131725	47462.41	179792.53	719846.13	167605.58
145	GMP -13C6[-H+]-	ME131726	None	None	None	None
146	GMP -13C9[-H+]-	ME131727	6584.52	None	None	None
147	GSH-13C0[-H+]-	ME131728	315269111.42	432656546.52	238128796.92	157634555.71
148	GSH-13C1[-H+]-	ME131729	7822494.09	11498443.60	13060623.29	6177680.35
149	GSH-13C2[-H+]-	ME131730	54654837.41	88952383.11	35753908.47	14145406.99
150	GSH-13C3[-H+]-	ME131731	13877519.25	23665331.14	10246004.91	3300866.79
151	GSH-13C4[-H+]-	ME131732	12739111.60	26080754.77	4756071.64	820359.78
152	GSH-13C5[-H+]-	ME131733	5928208.82	11096222.91	1909766.23	189072.01
153	GSH-13C6[-H+]-	ME131734	None	None	None	None
154	GTP-13C0[-H+]-	ME131735	13909.90	36103.29	None	None
155	GTP-13C5[-H+]-	ME131736	50826.64	70709.26	None	None
156	Gulonic and Galactonic and Gluconic acid-13C0[-H+]-	ME131737	8235343.42	10412420.73	799173.58	1085953.56
157	Gulonic and Galactonic and Gluconic acid-13C1[-H+]-	ME131738	None	None	None	None
158	Gulonic and Galactonic and Gluconic acid-13C3[-H+]-	ME131739	24800.48	27607.28	1131.57	4586.43
159	Gulonic and Galactonic and Gluconic acid-13C4[-H+]-	ME131740	3881.55	9684.03	None	None
160	Gulonic and Galactonic and Gluconic acid-13C5[-H+]-	ME131741	215307.79	283175.46	208660.74	150059.01
161	Gulonic and Galactonic and Gluconic acid-13C6[-H+]-	ME131742	9440388.99	11496858.36	2678960.35	2905714.14
162	Hexoses-13C0[-H+]-	ME131743	44692605.13	51321651.82	32503712.82	21384021.59
163	Hexoses-13C1[-H+]-	ME131744	None	None	None	None
164	Hexoses-13C2[-H+]-	ME131745	None	None	None	None
165	Hexoses-13C5[-H+]-	ME131746	349285.74	217767.68	352414.30	388944.25
166	Hexoses-13C6[-H+]-	ME131747	15496126.42	11297584.96	14996091.73	16395686.61
167	IMP-13C0[-H+]-	ME131748	None	None	4603.38	None
168	IMP-13C5[-H+]-	ME131749	None	None	8712.89	None
169	Isocitrate-13C0[-H+]-	ME131750	None	None	None	16873.26
170	Isocitrate-13C2[-H+]-	ME131751	None	None	5403.72	None
171	Itaconic acid-13C0[-H+]-	ME131752	79705.70	100716.81	149572.88	114323.34
172	Lactate-13C0[-H+]-	ME131753	31124056.13	38465610.90	32675088.83	25436936.24
173	Lactate-13C1[-H+]-	ME131754	226654.94	431708.08	None	None
174	Lactate-13C2[-H+]-	ME131755	10904604.30	13223140.49	3013455.22	1779474.46
175	Lactate-13C3[-H+]-	ME131756	436878997.61	532853249.81	151966536.22	100980230.93
176	L-Aspartic acid-13C0[-H+]-	ME131757	20598668.66	19134803.89	43079449.19	37537675.38
177	L-Aspartic acid-13C1[-H+]-	ME131758	432934.09	327439.34	4467341.20	2112342.61
178	L-Aspartic acid-13C2[-H+]-	ME131759	2426326.57	2293630.70	9196085.64	3999088.15
179	L-Aspartic acid-13C3[-H+]-	ME131760	1748776.49	1590117.26	6338161.36	2757529.40
180	L-Aspartic acid-13C4[-H+]-	ME131761	209934.72	248821.89	797181.48	111513.57
181	L-Glutamic acid-13C0[-H+]-	ME131762	392274490.33	411306675.84	506467603.41	429281517.71
182	L-Glutamic acid-13C1[-H+]-	ME131763	9616910.47	14312473.13	25347435.80	11433656.29
183	L-Glutamic acid-13C2[-H+]-	ME131764	11188997.95	117771747.25	89246611.13	39601894.50
184	L-Glutamic acid-13C3[-H+]-	ME131765	28144565.52	36660975.94	25534423.20	8080667.56
185	L-Glutamic acid-13C4[-H+]-	ME131766	24449659.37	38277292.81	15074363.78	1934042.28
186	L-Glutamic acid-13C5[-H+]-	ME131767	11425376.36	18170835.04	4766645.17	568348.38
187	L-Xylonate-13C0[-H+]-	ME131768	224229.09	212975.20	345792.02	447998.11
188	L-Xylonate-13C4[-H+]-	ME131769	4527.70	None	None	None
189	L-Xylonate-13C5[-H+]-	ME131770	650250.44	453554.71	327191.91	308157.30
190	Malate-13C0[-H+]-	ME131771	8965200.03	9883511.65	6712692.75	4097450.92
191	Malate-13C1[-H+]-	ME131772	368902.97	493731.86	366288.85	74468.57
192	Malate-13C2[-H+]-	ME131773	1667250.25	2049557.74	947474.30	301479.42
193	Malate-13C3[-H+]-	ME131774	1157608.06	1375945.39	643101.39	126016.81
194	Malate-13C4[-H+]-	ME131775	323500.86	513527.49	87081.62	11431.52
195	Mannose 6-phosphate-13C0[-H+]-	ME131776	26726.81	42050.23	13880.68	8291.14
196	Mannose 6-phosphate-13C5[-H+]-	ME131777	16220.71	20451.53	10423.99	16210.62
197	Mannose 6-phosphate-13C6[-H+]-	ME131778	1213260.40	1195143.25	1931781.94	1099952.82
198	N-Acetylglutamic acid -13C0[-H+]-	ME131779	3400242.48	4544723.13	2384333.67	1933503.71
199	N-Acetylglutamic acid -13C1[-H+]-	ME131780	None	21071.64	55201.30	None
200	N-Acetylglutamic acid -13C2[-H+]-	ME131781	1677693.91	2628822.55	2303894.25	None
201	N-Acetylglutamic acid -13C3[-H+]-	ME131782	85779.67	227759.50	148148.74	77408.00
202	N-Acetylglutamic acid -13C4[-H+]-	ME131783	388246.22	813490.05	493161.43	102647.77
203	N-Acetylglutamic acid -13C5[-H+]-	ME131784	54172.84	178434.48	79025.11	17846.96
204	N-Acetylglutamic acid -13C6[-H+]-	ME131785	35379.59	89075.93	38466.43	None
205	N-Acetylglutamic acid -13C7[-H+]-	ME131786	17887.99	34747.84	None	None
206	NADH-13C0[-H+]-	ME131787	69121.70	87493.75	35143.08	11661.98
207	NADH-13C10[-H+]-	ME131788	345677.42	297877.06	143922.51	76275.70
208	NADH-13C11[-H+]-	ME131789	None	None	None	None
209	NADH-13C3[-H+]-	ME131790	5217.61	None	None	None
210	NADH-13C4[-H+]-	ME131791	None	9777.64	None	None
211	NADH-13C5[-H+]-	ME131792	525114.06	482235.85	168389.04	84756.69
212	NADH-13C6[-H+]-	ME131793	None	None	None	None
213	NADH-13C7[-H+]-	ME131794	4477.92	462.32	None	None
214	NADH-13C8[-H+]-	ME131795	8129.83	5639.45	None	None
215	NADH-13C9[-H+]-	ME131796	18492.92	16020.62	None	None
216	Pantothenic acid-13C0[-H+]-	ME131797	31951181.75	34162336.20	19789832.30	17578677.85
217	Pantothenic acid-13C1[-H+]-	ME131798	None	None	None	None
218	Pantothenic acid-13C2[-H+]-	ME131799	None	None	None	None
219	PEP-13C3[-H+]-	ME131800	64852.34	47440.10	35328.26	23648.32
220	Phosphocreatine-13C0[-H+]-	ME131801	1039670.59	1531381.78	243717.27	115881.63
221	Phosphocreatine-13C1[-H+]-	ME131802	None	None	None	None
222	Phosphoserine-13C0[-H+]-	ME131803	26957.10	33257.82	22041.76	35570.36
223	Pyroglutamic acid-13C0[-H+]-	ME131804	59105509.46	54558931.81	56462150.36	45465776.51
224	Pyroglutamic acid-13C1[-H+]-	ME131805	145969.44	376973.28	None	None
225	Pyroglutamic acid-13C2[-H+]-	ME131806	1385054.52	1840307.62	438890.62	126425.36
226	Pyroglutamic acid-13C3[-H+]-	ME131807	308665.19	537964.54	69638.90	20290.72
227	Pyroglutamic acid-13C4[-H+]-	ME131808	269790.62	569150.20	32925.13	6747.81
228	Pyroglutamic acid-13C5[-H+]-	ME131809	95376.90	189222.36	None	None
229	Pyruvate-13C0[-H+]-	ME131810	818361.29	887233.33	1126770.79	1126422.81
230	Pyruvate-13C1[-H+]-	ME131811	None	None	None	None
231	Pyruvate-13C2[-H+]-	ME131812	15078.68	20608.80	9591.29	8546.75
232	Pyruvate-13C3[-H+]-	ME131813	4585358.61	5300700.65	2661658.15	2959750.49
233	R1P-13C0[-H+]-	ME131814	104345.45	259488.95	21304.96	3819.86
234	R1P-13C5[-H+]-	ME131815	178326.42	356677.15	61532.98	21564.36
235	R5P-13C0[-H+]-	ME131816	123177.41	238383.44	10194.07	9458.91
236	R5P-13C3[-H+]-	ME131817	5048.52	6255.61	None	None
237	R5P-13C4[-H+]-	ME131818	4232.96	7339.94	None	None
238	R5P-13C5[-H+]-	ME131819	816543.20	1226634.80	85693.71	40651.08
239	S7P-13C0[-H+]-	ME131820	3503.71	6856.14	None	None
240	S7P-13C2[-H+]-	ME131821	60883.09	58284.83	8327.09	5680.18
241	S7P-13C5[-H+]-	ME131822	38958.80	49808.60	6169.83	None
242	S7P-13C6[-H+]-	ME131823	13633.50	19807.88	4653.69	4339.45
243	S7P-13C7[-H+]-	ME131824	501167.90	718276.60	203757.57	124246.55
244	(S)-Methylmalonic acid semialdehyde-13C0[-H+]-	ME131579	87912.82	135224.30	69049.71	66478.87
245	(S)-Methylmalonic acid semialdehyde-13C3[-H+]-	ME131580	15290.66	11909.33	22206.13	22659.78
246	(S)-Methylmalonic acid semialdehyde-13C4[-H+]-	ME131581	3817365.03	2795726.61	3688604.22	4030830.65
247	Succinate-13C0[-H+]-	ME131825	6694212.20	8681363.03	9062971.51	5736296.45
248	Succinate-13C1[-H+]-	ME131826	None	None	22379.40	None
249	Succinate-13C2[-H+]-	ME131827	355891.81	499842.90	381640.47	72950.37
250	Succinate-13C3[-H+]-	ME131828	198314.19	219570.90	187651.59	10873.94
251	Succinate-13C4[-H+]-	ME131829	43366.82	59897.06	21687.82	None
252	SucroseAndDischarrides-13C11[-H+]-	ME131831	29555.30	29459.42	116663.00	60065.98
253	SucroseAndDischarrides-13C12[-H+]-	ME131832	1154214.65	1283608.51	3134934.37	2080085.54
254	SucroseAndDischarrides-13C1[-H+]-	ME131830	None	None	7377.68	24544.54
255	SucroseAndDischarrides-13C6[-H+]-	ME131833	None	None	16408.41	13047.37
256	SucroseAndDischarrides-13C8[-H+]-	ME131834	9503.12	11222.44	None	None
257	Taurine-13C0[-H+]-	ME131835	164631273.97	179969591.42	121683985.11	96222378.14
258	Taurine-13C1[-H+]-	ME131836	None	None	None	None
259	UDP-13C0[-H+]-	ME131837	32781.36	50924.42	109696.04	62109.83
260	UDP-13C5[-H+]-	ME131838	15257.75	21074.71	29626.49	3819.41
261	UDP-13C7[-H+]-	ME131839	None	None	5199.66	None
262	UDP-N-acetyl-alpha-D-galactosamine-13C0[-H+]-	ME131840	4042777.77	8823340.19	295773.53	192979.80
263	UDP-N-acetyl-alpha-D-galactosamine-13C10[-H+]-	ME131842	88253.06	132876.29	11768.19	None
264	UDP-N-acetyl-alpha-D-galactosamine-13C11[-H+]-	ME131843	1160139.00	2181323.30	251560.11	88081.70
265	UDP-N-acetyl-alpha-D-galactosamine-13C12[-H+]-	ME131844	167818.15	345859.61	31199.44	5165.20
266	UDP-N-acetyl-alpha-D-galactosamine-13C13[-H+]-	ME131845	736836.06	1539490.11	54959.66	13385.19
267	UDP-N-acetyl-alpha-D-galactosamine-13C14[-H+]-	ME131846	131086.35	256291.81	13986.84	None
268	UDP-N-acetyl-alpha-D-galactosamine-13C15[-H+]-	ME131847	77136.16	192705.64	None	None
269	UDP-N-acetyl-alpha-D-galactosamine-13C16[-H+]-	ME131848	25599.91	63124.20	None	None
270	UDP-N-acetyl-alpha-D-galactosamine-13C1[-H+]-	ME131841	None	None	None	None
271	UDP-N-acetyl-alpha-D-galactosamine-13C2[-H+]-	ME131849	55061.19	270127.60	None	None
272	UDP-N-acetyl-alpha-D-galactosamine-13C3[-H+]-	ME131850	26507.94	51871.63	None	None
273	UDP-N-acetyl-alpha-D-galactosamine-13C4[-H+]-	ME131851	33914.59	59791.75	None	None
274	UDP-N-acetyl-alpha-D-galactosamine-13C5[-H+]-	ME131852	1275641.65	2615399.67	123560.77	54319.54
275	UDP-N-acetyl-alpha-D-galactosamine-13C6[-H+]-	ME131853	3428386.48	7656771.93	1266671.41	1058885.08
276	UDP-N-acetyl-alpha-D-galactosamine-13C7[-H+]-	ME131854	136014.59	284310.43	None	None
277	UDP-N-acetyl-alpha-D-galactosamine-13C8[-H+]-	ME131855	1085061.84	2799096.02	34501.43	13822.97
278	UDP-N-acetyl-alpha-D-galactosamine-13C9[-H+]-	ME131856	4519.73	None	None	None
279	UMP-13C0[-H+]-	ME131857	13045811.23	17910351.02	13377484.40	11387445.40
280	UMP-13C1[-H+]-	ME131858	143020.54	86418.44	None	None
281	UMP-13C2[-H+]-	ME131859	None	None	15226.08	None
282	UMP-13C3[-H+]-	ME131860	68369.78	122430.23	60497.53	27803.97
283	UMP-13C4[-H+]-	ME131861	97045.64	178227.50	101695.38	39164.53
284	UMP-13C5[-H+]-	ME131862	8251528.02	9868259.54	6541810.99	2684714.22
285	UMP-13C6[-H+]-	ME131863	890876.54	1262953.09	640077.24	99121.59
286	UMP-13C7[-H+]-	ME131864	969588.76	1452722.01	713407.86	113334.58
287	UMP-13C8[-H+]-	ME131865	246462.00	476661.86	161479.47	34020.71
288	Uracil-13C0[-H+]-	ME131866	3219194.48	4441909.64	846790.89	636467.10
289	Uracil-13C1[-H+]-	ME131867	None	None	None	None
290	Uracil-13C2[-H+]-	ME131868	31879.57	51391.93	None	None
291	Uracil-13C3[-H+]-	ME131869	None	5115.59	None	None
292	Uric acid-13C0[-H+]-	ME131870	7001675.97	7110217.53	572204.11	656928.06
293	Uric acid-13C1[-H+]-	ME131871	None	None	None	None
294	Uridine diphosphate-N-acetylglucosamine-13C0[-H+]-	ME131872	965453.69	1861020.15	100433.10	68310.25
295	Uridine diphosphate-N-acetylglucosamine-13C10[-H+]-	ME131874	22673.96	25054.30	4318.55	None
296	Uridine diphosphate-N-acetylglucosamine-13C11[-H+]-	ME131875	320840.10	471208.22	50566.95	28477.44
297	Uridine diphosphate-N-acetylglucosamine-13C12[-H+]-	ME131876	46097.62	93522.57	None	None
298	Uridine diphosphate-N-acetylglucosamine-13C13[-H+]-	ME131877	220088.56	321753.27	9307.01	None
299	Uridine diphosphate-N-acetylglucosamine-13C14[-H+]-	ME131878	41085.35	57864.60	3279.89	None
300	Uridine diphosphate-N-acetylglucosamine-13C15[-H+]-	ME131879	39543.82	34827.53	None	None
301	Uridine diphosphate-N-acetylglucosamine-13C16[-H+]-	ME131880	None	15299.85	None	None
302	Uridine diphosphate-N-acetylglucosamine-13C1[-H+]-	ME131873	None	None	None	None
303	Uridine diphosphate-N-acetylglucosamine-13C2[-H+]-	ME131881	13454.48	59331.95	None	None
304	Uridine diphosphate-N-acetylglucosamine-13C3[-H+]-	ME131882	None	6923.34	None	None
305	Uridine diphosphate-N-acetylglucosamine-13C4[-H+]-	ME131883	16102.12	11924.44	None	None
306	Uridine diphosphate-N-acetylglucosamine-13C5[-H+]-	ME131884	340239.53	547391.84	33695.98	17588.41
307	Uridine diphosphate-N-acetylglucosamine-13C6[-H+]-	ME131885	873012.35	1364828.80	279738.36	254842.60
308	Uridine diphosphate-N-acetylglucosamine-13C7[-H+]-	ME131886	62562.18	87031.68	None	None
309	Uridine diphosphate-N-acetylglucosamine-13C8[-H+]-	ME131887	316611.84	614303.55	18673.73	None
310	Uridine diphosphate-N-acetylglucosamine-13C9[-H+]-	ME131888	1832.89	3860.17	None	None
311	UTP-13C0[-H+]-	ME131889	10536.09	28614.70	None	12763.42
312	XMP-13C0[-H+]-	ME131890	315181.15	423165.19	32060.83	12499.20
313	XMP-13C1[-H+]-	ME131891	22394.59	21336.72	None	None
314	XMP-13C2[-H+]-	ME131892	8737.88	2845.13	None	None
315	XMP-13C3[-H+]-	ME131893	17697.26	17852.32	None	None
316	XMP-13C4[-H+]-	ME131894	4621.55	7201.80	None	None
317	XMP-13C5[-H+]-	ME131895	3186.64	None	None	None
