"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"WB_060212_ASWAT_17"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_17"	"WB_060212_ASWAT_17.raw"	"Data transformation"	""	"WB_060212_ASWAT_17.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_18"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_18"	"WB_060212_ASWAT_18.raw"	"Data transformation"	""	"WB_060212_ASWAT_18.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_19"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_19"	"WB_060212_ASWAT_19.raw"	"Data transformation"	""	"WB_060212_ASWAT_19.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_20"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_20"	"WB_060212_ASWAT_20.raw"	"Data transformation"	""	"WB_060212_ASWAT_20.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_21"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_21"	"WB_060212_ASWAT_21.raw"	"Data transformation"	""	"WB_060212_ASWAT_21.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_22"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_22"	"WB_060212_ASWAT_22.raw"	"Data transformation"	""	"WB_060212_ASWAT_22.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_23"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_23"	"WB_060212_ASWAT_23.raw"	"Data transformation"	""	"WB_060212_ASWAT_23.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_24"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_24"	"WB_060212_ASWAT_24.raw"	"Data transformation"	""	"WB_060212_ASWAT_24.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_25"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_25"	"WB_060212_ASWAT_25.raw"	"Data transformation"	""	"WB_060212_ASWAT_25.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_26"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_26"	"WB_060212_ASWAT_26.raw"	"Data transformation"	""	"WB_060212_ASWAT_26.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_28"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_28"	"WB_060212_ASWAT_28.raw"	"Data transformation"	""	"WB_060212_ASWAT_28.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_29"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_29"	"WB_060212_ASWAT_29.raw"	"Data transformation"	""	"WB_060212_ASWAT_29.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_30"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_30"	"WB_060212_ASWAT_30.raw"	"Data transformation"	""	"WB_060212_ASWAT_30.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_31"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_31"	"WB_060212_ASWAT_31.raw"	"Data transformation"	""	"WB_060212_ASWAT_31.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_32"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_32"	"WB_060212_ASWAT_32.raw"	"Data transformation"	""	"WB_060212_ASWAT_32.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_33"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_33"	"WB_060212_ASWAT_33.raw"	"Data transformation"	""	"WB_060212_ASWAT_33.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_34"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_34"	"WB_060212_ASWAT_34.raw"	"Data transformation"	""	"WB_060212_ASWAT_34.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_35"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_35"	"WB_060212_ASWAT_35.raw"	"Data transformation"	""	"WB_060212_ASWAT_35.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_36"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_36"	"WB_060212_ASWAT_36.raw"	"Data transformation"	""	"WB_060212_ASWAT_36.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_37"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_37"	"WB_060212_ASWAT_37.raw"	"Data transformation"	""	"WB_060212_ASWAT_37.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_39"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_39"	"WB_060212_ASWAT_39.raw"	"Data transformation"	""	"WB_060212_ASWAT_39.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_40"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_40"	"WB_060212_ASWAT_40.raw"	"Data transformation"	""	"WB_060212_ASWAT_40.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_41"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_41"	"WB_060212_ASWAT_41.raw"	"Data transformation"	""	"WB_060212_ASWAT_41.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_42"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_42"	"WB_060212_ASWAT_42.raw"	"Data transformation"	""	"WB_060212_ASWAT_42.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_43"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_43"	"WB_060212_ASWAT_43.raw"	"Data transformation"	""	"WB_060212_ASWAT_43.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_44"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_44"	"WB_060212_ASWAT_44.raw"	"Data transformation"	""	"WB_060212_ASWAT_44.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_45"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_45"	"WB_060212_ASWAT_45.raw"	"Data transformation"	""	"WB_060212_ASWAT_45.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_46"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_46"	"WB_060212_ASWAT_46.raw"	"Data transformation"	""	"WB_060212_ASWAT_46.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_47"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_47"	"WB_060212_ASWAT_47.raw"	"Data transformation"	""	"WB_060212_ASWAT_47.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_48"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_48"	"WB_060212_ASWAT_48.raw"	"Data transformation"	""	"WB_060212_ASWAT_48.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_50"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_50"	"WB_060212_ASWAT_50.raw"	"Data transformation"	""	"WB_060212_ASWAT_50.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_51"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_51"	"WB_060212_ASWAT_51.raw"	"Data transformation"	""	"WB_060212_ASWAT_51.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_52"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_52"	"WB_060212_ASWAT_52.raw"	"Data transformation"	""	"WB_060212_ASWAT_52.cdf"	"Metabolite identification"	""	""
