"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Oxygen Level]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell or Tumour]"	"Term Source REF"	"Term Accession Number"
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"18"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"19"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"20"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"21"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"22"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"23"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"24"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"25"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"26"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"27"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"28"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"29"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"30"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"31"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"32"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"33"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"34"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"35"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"36"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"37"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"38"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"39"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"40"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"41"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"42"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"43"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"44"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"45"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"46"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"47"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"48"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"49"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"50"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"51"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"52"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"53"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"54"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"55"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"56"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"57"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"58"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"59"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"60"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"61"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"62"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"63"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"64"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"65"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"66"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"67"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"68"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"69"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"70"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"71"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"72"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Tumour"	""	""
