"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Data Transformation Name"	"Metabolite Assignment File"
"D_QC2"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_QC2"	"D_QC2.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_A_6"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_A_6"	"D_A_6.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AM_6"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AM_6"	"D_AM_6.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AP_6"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AP_6"	"D_AP_6.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_A_1"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_A_1"	"D_A_1.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AM_1"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AM_1"	"D_AM_1.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AP_1"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AP_1"	"D_AP_1.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_QC3"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_QC3"	"D_QC3.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_A_3"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_A_3"	"D_A_3.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AM_3"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AM_3"	"D_AM_3.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AP_3"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AP_3"	"D_AP_3.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_A_5"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_A_5"	"D_A_5.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AM_5"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AM_5"	"D_AM_5.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AP_5"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AP_5"	"D_AP_5.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_QC4"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_QC4"	"D_QC4.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_A_7"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_A_7"	"D_A_7.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_QC5"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_QC5"	"D_QC5.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_QC6"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_QC5"	"D_QC6.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_blank2"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_blank2"	"D_blank2.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
