"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Data Transformation Name"	"Data Transformation Name"	"Metabolite Assignment File"
"L_A_4"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_A_4"	"L_A_4.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_A_4.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AM_4"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AM_4"	"L_AM_4.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AM_4.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AP_4"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AP_4"	"L_AP_4.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AP_4.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_QC5"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC5"	"L_QC5.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC5.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_A_2"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_A_2"	"L_A_2.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_A_2.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AM_2"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AM_2"	"L_AM_2.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AM_2.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AP_2"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AP_2"	"L_AP_2.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AP_2.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_A_5"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_A_5"	"L_A_5.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_A_5.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AM_5"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AM_5"	"L_AM_5.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AM_5.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AP_5"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AP_5"	"L_AP_5.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AP_5.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_QC6"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC6"	"L_QC6.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC6.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_A_3"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_A_3"	"L_A_3.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_A_3.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AM_3"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AM_3"	"L_AM_3.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AM_3.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AP_3"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AP_3"	"L_AP_3.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AP_3.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_A_6"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_A_6"	"L_A_6.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_A_6.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AM_6"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AM_6"	"L_AM_6.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AM_6.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AP_6"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AP_6"	"L_AP_6.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AP_6.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_QC7"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC7"	"L_QC7.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC7.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_A_7"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_A_7"	"L_A_7.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_A_7.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_QC8"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC8"	"L_QC8.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC8.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_QC9"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC9"	"L_QC9.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC9.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_QC10"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC10"	"L_QC10.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC10.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
