"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Technical Replicate Number]"	"Term Source REF"	"Term Accession Number"
"Wax_Mat Sample_2_C_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_2_C_1"	"Wax_Mat_Samples_2_C_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_2_C_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_2_C_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_2_C_2"	"Wax_Mat_Samples_2_C_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_2_C_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_3_A_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_3_A_1"	"Wax_Mat_Samples_3_A_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_3_A_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_3_A_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_3_A_2"	"Wax_Mat_Samples_3_A_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_3_A_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_3_B_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_3_B_1"	"Wax_Mat_Samples_3_B_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_3_B_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_3_B_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_3_B_2"	"Wax_Mat_Samples_3_B_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_3_B_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_3_C_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_3_C_1"	"Wax_Mat_Samples_3_C_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_3_C_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_3_C_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_3_C_2"	"Wax_Mat_Samples_3_C_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_3_C_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_4_A_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_4_A_1"	"Wax_Mat_Samples_4_A_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_4_A_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_4_A_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_4_A_2"	"Wax_Mat_Samples_4_A_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_4_A_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_4_B_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_4_B_1"	"Wax_Mat_Samples_4_B_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_4_B_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_4_B_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_4_B_2"	"Wax_Mat_Samples_4_B_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_4_B_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_4_C_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_4_C_1"	"Wax_Mat_Samples_4_C_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_4_C_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_4_C_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_4_C_2"	"Wax_Mat_Samples_4_C_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_4_C_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_5_A_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_5_A_1"	"Wax_Mat_Samples_5_A_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_5_A_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_5_A_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_5_A_2"	"Wax_Mat_Samples_5_A_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_5_A_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_5_B_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_5_B_1"	"Wax_Mat_Samples_5_B_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_5_B_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_5_B_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_5_B_2"	"Wax_Mat_Samples_5_B_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_5_B_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_5_C_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_5_C_1"	"Wax_Mat_Samples_5_C_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_5_C_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_5_C_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_5_C_2"	"Wax_Mat_Samples_5_C_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_5_C_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_6_A_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_6_A_1"	"Wax_Mat_Samples_6_A_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_6_A_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_6_A_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_6_A_2"	"Wax_Mat_Samples_6_A_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_6_A_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_6_B_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_6_B_1"	"Wax_Mat_Samples_6_B_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_6_B_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_6_B_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_6_B_2"	"Wax_Mat_Samples_6_B_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_6_B_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
"Wax_Mat Sample_6_C_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_6_C_1"	"Wax_Mat_Samples_6_C_1.zip"	"Data transformation"	""	"Wax_Mat_Sample_6_C_1.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"1"	""	""
"Wax_Mat Sample_6_C_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–700"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Wax_Mat Sample_6_C_2"	"Wax_Mat_Samples_6_C_2.zip"	"Data transformation"	""	"Wax_Mat_Sample_6_C_2.CDF"	"Metabolite identification"	""	"m_cWaxPHA_mtbls187_v2_maf.tsv"	"2"	""	""
