"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell line]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Pooled]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Biological replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_PosLipid_dataS00R3"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"10"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_PosLipid_dataS00R4"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"11"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_B_PosLipid_dataS02R1"	"SH87"	""	""	"No"	""	""	"5"	""	""	"12"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_B_PosLipid_dataS02R2"	"SH87"	""	""	"No"	""	""	"5"	""	""	"13"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_B_PosLipid_dataS02R3"	"SH87"	""	""	"No"	""	""	"5"	""	""	"14"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_B_PosLipid_dataS02R4"	"SH87"	""	""	"No"	""	""	"5"	""	""	"15"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_A_PosLipid_dataS04R1"	"CHOK1"	""	""	"No"	""	""	"0"	""	""	"16"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_A_PosLipid_dataS04R2"	"CHOK1"	""	""	"No"	""	""	"0"	""	""	"17"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_A_PosLipid_dataS04R3"	"CHOK1"	""	""	"No"	""	""	"0"	""	""	"18"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_A_PosLipid_dataS04R4"	"CHOK1"	""	""	"No"	""	""	"0"	""	""	"19"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_PosLipid_dataS00R5"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"20"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_PosLipid_dataS00R6"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"21"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_A_PosLipid_dataS01R1"	"SH87"	""	""	"No"	""	""	"4"	""	""	"22"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_A_PosLipid_dataS01R2"	"SH87"	""	""	"No"	""	""	"4"	""	""	"23"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_A_PosLipid_dataS01R3"	"SH87"	""	""	"No"	""	""	"4"	""	""	"24"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_A_PosLipid_dataS01R4"	"SH87"	""	""	"No"	""	""	"4"	""	""	"25"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_C_PosLipid_dataS06R1"	"CHOK1"	""	""	"No"	""	""	"2"	""	""	"26"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_C_PosLipid_dataS06R2"	"CHOK1"	""	""	"No"	""	""	"2"	""	""	"27"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_C_PosLipid_dataS06R3"	"CHOK1"	""	""	"No"	""	""	"2"	""	""	"28"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_C_PosLipid_dataS06R4"	"CHOK1"	""	""	"No"	""	""	"2"	""	""	"29"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_PosLipid_dataS00R7"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"30"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_PosLipid_dataS00R8"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"31"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_NegLipid_dataS00R1"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"0"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_NegLipid_dataS00R2"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"1"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_C_NegLipid_dataS03R1"	"SH87"	""	""	"No"	""	""	"6"	""	""	"2"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_C_NegLipid_dataS03R2"	"SH87"	""	""	"No"	""	""	"6"	""	""	"3"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_C_NegLipid_dataS03R3"	"SH87"	""	""	"No"	""	""	"6"	""	""	"4"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_C_NegLipid_dataS03R4"	"SH87"	""	""	"No"	""	""	"6"	""	""	"5"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_B_NegLipid_dataS05R1"	"CHOK1"	""	""	"No"	""	""	"1"	""	""	"6"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_B_NegLipid_dataS05R2"	"CHOK1"	""	""	"No"	""	""	"1"	""	""	"7"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_B_NegLipid_dataS05R3"	"CHOK1"	""	""	"No"	""	""	"1"	""	""	"8"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_B_NegLipid_dataS05R4"	"CHOK1"	""	""	"No"	""	""	"1"	""	""	"9"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_NegLipid_dataS00R3"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"10"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_NegLipid_dataS00R4"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"11"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_B_NegLipid_dataS02R1"	"SH87"	""	""	"No"	""	""	"5"	""	""	"12"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_B_NegLipid_dataS02R2"	"SH87"	""	""	"No"	""	""	"5"	""	""	"13"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_B_NegLipid_dataS02R3"	"SH87"	""	""	"No"	""	""	"5"	""	""	"14"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_B_NegLipid_dataS02R4"	"SH87"	""	""	"No"	""	""	"5"	""	""	"15"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_A_NegLipid_dataS04R1"	"CHOK1"	""	""	"No"	""	""	"0"	""	""	"16"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_A_NegLipid_dataS04R2"	"CHOK1"	""	""	"No"	""	""	"0"	""	""	"17"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_A_NegLipid_dataS04R3"	"CHOK1"	""	""	"No"	""	""	"0"	""	""	"18"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_A_NegLipid_dataS04R4"	"CHOK1"	""	""	"No"	""	""	"0"	""	""	"19"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_NegLipid_dataS00R5"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"20"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_NegLipid_dataS00R6"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"21"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_A_NegLipid_dataS01R1"	"SH87"	""	""	"No"	""	""	"4"	""	""	"22"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_A_NegLipid_dataS01R2"	"SH87"	""	""	"No"	""	""	"4"	""	""	"23"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_A_NegLipid_dataS01R3"	"SH87"	""	""	"No"	""	""	"4"	""	""	"24"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_A_NegLipid_dataS01R4"	"SH87"	""	""	"No"	""	""	"4"	""	""	"25"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_C_NegLipid_dataS06R1"	"CHOK1"	""	""	"No"	""	""	"2"	""	""	"26"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_C_NegLipid_dataS06R2"	"CHOK1"	""	""	"No"	""	""	"2"	""	""	"27"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_C_NegLipid_dataS06R3"	"CHOK1"	""	""	"No"	""	""	"2"	""	""	"28"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_C_NegLipid_dataS06R4"	"CHOK1"	""	""	"No"	""	""	"2"	""	""	"29"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_NegLipid_dataS00R7"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"30"	""	""
"Neg mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_NegLipid_dataS00R8"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"31"	""	""
