Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Provider	Characteristics [cell type]	Term Source REF	Term Accession Number	Characteristics [material type]	Term Source REF	Term Accession Number	Characteristics [nsaid treatment]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [race]	Term Source REF	Term Accession Number	Characteristics [sex]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [nsaid treatment]	Term Source REF	Term Accession Number	FactorValue [time]
GSM1442217 1	Pretreatment with rofecoxib, sampled after 2 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 2 hr IL-1beta exposure	hasmc_rofecoxib_tp2hr_biological rep2	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442217 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442217 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442217	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442217_RC32_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442217_sample_table.txt norm	GSM1442217_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	2
GSM1442216 1	Pretreatment with rofecoxib, sampled after 2 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 2 hr IL-1beta exposure	hasmc_rofecoxib_tp2hr_biological rep1	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442216 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442216 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442216	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442216_RC19_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442216_sample_table.txt norm	GSM1442216_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	2
GSM1442215 1	Pretreatment with rofecoxib, sampled after 0 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 0 hr IL-1beta exposure	hasmc_rofecoxib_tp0hr_biological rep4	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442215 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442215 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442215	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442215_RC55_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442215_sample_table.txt norm	GSM1442215_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	0
GSM1442214 1	Pretreatment with rofecoxib, sampled after 0 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 0 hr IL-1beta exposure	hasmc_rofecoxib_tp0hr_biological rep3	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442214 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442214 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442214	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442214_RC42_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442214_sample_table.txt norm	GSM1442214_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	0
GSM1442213 1	Pretreatment with rofecoxib, sampled after 0 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 0 hr IL-1beta exposure	hasmc_rofecoxib_tp0hr_biological rep2	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442213 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442213 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442213	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442213_RC3_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442213_sample_table.txt norm	GSM1442213_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	0
GSM1442212 1	Pretreatment with rofecoxib, sampled after 0 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 0 hr IL-1beta exposure	hasmc_rofecoxib_tp0hr_biological rep1	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442212 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442212 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442212	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442212_RC16_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442212_sample_table.txt norm	GSM1442212_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	0
GSM1442211 1	Control : Pretreatment with dimethyl sulfoxide, sampled after 24 h IL-1beta exposure	human aortic smc, control 24hr IL-1beta exposure	hasmc_none_tp24hr_biological rep4	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	none	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442211 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442211 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442211	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442211_RC50_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442211_sample_table.txt norm	GSM1442211_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	none	  	  	24
GSM1442210 1	Control : Pretreatment with dimethyl sulfoxide, sampled after 24 h IL-1beta exposure	human aortic smc, control 24hr IL-1beta exposure	hasmc_none_tp24hr_biological rep3	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	none	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442210 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442210 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442210	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442210_RC37_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442210_sample_table.txt norm	GSM1442210_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	none	  	  	24
GSM1442209 1	Control : Pretreatment with dimethyl sulfoxide, sampled after 24 h IL-1beta exposure	human aortic smc, control 24hr IL-1beta exposure	hasmc_none_tp24hr_biological rep2	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	none	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442209 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442209 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442209	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442209_RC24_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442209_sample_table.txt norm	GSM1442209_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	none	  	  	24
GSM1442208 1	Control : Pretreatment with dimethyl sulfoxide, sampled after 24 h IL-1beta exposure	human aortic smc, control 24hr IL-1beta exposure	hasmc_none_tp24hr_biological rep1	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	none	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442208 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442208 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442208	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442208_RC11_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442208_sample_table.txt norm	GSM1442208_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	none	  	  	24
