Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [TargetedCellType]	Characteristics [OrganismPart]	Characteristics [Sex]	Characteristics [DevelopmentalStage]	Characteristics [StrainOrLine]	Characteristics [Organism]	Characteristics [BioSourceType]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Protocol REF	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Parameter Value [Amount of nucleic acid labeled]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Rattus norvegicus__S:BioSource:166480	9	days	spermatogonia	testis	male	pre-puberty	Sprague Dawley	Rattus norvegicus	cells	SG1	P-MEXP-1359	total RNA	none	P-MEXP-1358	SG1	total_RNA	P-MEXP-1360	RNA polymerases	biotin	10	SG1B	Biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	SG2_u34b	A-AFFY-19	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-19	P-AFFY-6	SG2_u34b	SG2_u34b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-31-processed-data-2481281221.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.processed.1.zip
Rattus norvegicus	9	days	spermatogonia	testis	male	pre-puberty	Sprague Dawley	Rattus norvegicus	cells	SG2	P-MEXP-1359	total RNA	none	P-MEXP-1358	SG2	total_RNA	P-MEXP-1360	RNA polymerases	biotin	10	SG2A	Biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	SG1_u34b	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	SG1_u34b	SG1_u34b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-31-processed-data-2481281221.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.processed.1.zip
Rattus norvegicus__S:BioSource:166480	9	days	spermatogonia	testis	male	pre-puberty	Sprague Dawley	Rattus norvegicus	cells	SG1	P-MEXP-1359	total RNA	none	P-MEXP-1358	SG1	total_RNA	P-MEXP-1360	RNA polymerases	biotin	10	SG1A	Biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	SG1_u34a	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	SG1_u34a	SG1_u34a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-31-processed-data-2481281219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.processed.1.zip
Rattus norvegicus__S:BioSource:166486	90	days	total testis	testis	male	adult	Sprague Dawley	Rattus norvegicus	cells	TT1	P-MEXP-1359	total RNA	none	  	TT1	total_RNA	P-MEXP-1360	RNA polymerases	biotin	10	TT1B	Biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	TT1_u34b	A-AFFY-19	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-19	P-AFFY-6	TT1_u34b	TT1_u34b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-31-processed-data-2481281221.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.processed.1.zip
Rattus norvegicus__S:BioSource:166483	90	days	spermatocytes	testis	male	adult	Sprague Dawley	Rattus norvegicus	cells	SC2	P-MEXP-1359	total RNA	none	  	SC2	total_RNA	P-MEXP-1360	RNA polymerases	biotin	10	SC2B	Biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	SC2_u34b	A-AFFY-19	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-19	P-AFFY-6	SC2_u34b	SC2_u34b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-31-processed-data-2481281221.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.processed.1.zip
Rattus norvegicus__S:BioSource:166484	90	days	spermatides	testis	male	adult	Sprague Dawley	Rattus norvegicus	cells	ST1	P-MEXP-1359	total RNA	none	  	ST1	total_RNA	P-MEXP-1360	RNA polymerases	biotin	10	ST1A	Biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ST1_u34a	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	ST1_u34a	ST1_u34a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-31-processed-data-2481281219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.processed.1.zip
Rattus norvegicus__S:BioSource:166486	90	days	total testis	testis	male	adult	Sprague Dawley	Rattus norvegicus	cells	TT1	P-MEXP-1359	total RNA	none	  	TT1	total_RNA	P-MEXP-1360	RNA polymerases	biotin	10	TT1A	Biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	TT1_u34a	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	TT1_u34a	TT1_u34a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-31-processed-data-2481281219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.processed.1.zip
Rattus norvegicus__S:BioSource:166484	90	days	spermatides	testis	male	adult	Sprague Dawley	Rattus norvegicus	cells	ST1	P-MEXP-1359	total RNA	none	  	ST1	total_RNA	P-MEXP-1360	RNA polymerases	biotin	10	ST1B	Biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ST1_u34b	A-AFFY-19	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-19	P-AFFY-6	ST1_u34b	ST1_u34b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-31-processed-data-2481281221.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.processed.1.zip
Rattus norvegicus__S:BioSource:166482	90	days	spermatocytes	testis	male	adult	Sprague Dawley	Rattus norvegicus	cells	SC1	P-MEXP-1359	total RNA	none	  	SC1	total_RNA	P-MEXP-1360	RNA polymerases	biotin	10	SC1B	Biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	SC1_u34b	A-AFFY-19	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-19	P-AFFY-6	SC1_u34b	SC1_u34b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-31-processed-data-2481281221.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.processed.1.zip
Rattus norvegicus__S:BioSource:166483	90	days	spermatocytes	testis	male	adult	Sprague Dawley	Rattus norvegicus	cells	SC2	P-MEXP-1359	total RNA	none	  	SC2	total_RNA	P-MEXP-1360	RNA polymerases	biotin	10	SC2A	Biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	SC2_u34a	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	SC2_u34a	SC2_u34a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-31-processed-data-2481281219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-31/E-MEXP-31.processed.1.zip
