"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"YeRT1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_T01"	"YeR_LCMS_T01.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRT2"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_T02"	"YeR_LCMS_T02.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRT3"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_T03"	"YeR_LCMS_T03.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRT4"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_T04"	"YeR_LCMS_T04.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRT5"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_T05"	"YeR_LCMS_T05.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRT6"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_T06"	"YeR_LCMS_T06.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRT7"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_T07"	"YeR_LCMS_T07.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRT8"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_T08"	"YeR_LCMS_T08.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRT9"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_T09"	"YeR_LCMS_T09.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRT10"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_T10"	"YeR_LCMS_T10.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRQC01"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_QC01"	"YeR_LCMS_QC01.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRQC02"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_QC02"	"YeR_LCMS_QC02.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRQC03"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_QC03"	"YeR_LCMS_QC03.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRQC04"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_QC04"	"YeR_LCMS_QC04.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRQC05"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_QC05"	"YeR_LCMS_QC05.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRQC06"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_QC06"	"YeR_LCMS_QC06.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRQC07"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_QC07"	"YeR_LCMS_QC07.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRQC08"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_QC08"	"YeR_LCMS_QC08.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"blank5"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LCMS_blank5"	"LCMS_blank5.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
