"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Cartridge type]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"24"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_24_neg_GC"	"20150825_24_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"25"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_25_neg_GC"	"20150825_25_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"26"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_26_neg_GC"	"20150825_26_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"27"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_27_neg_GC"	"20150825_27_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"28"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_28_neg_GC"	"20150825_28_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"29"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_29_neg_GC"	"20150825_29_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"30"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_30_neg_GC"	"20150825_30_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"31"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_31_neg_GC"	"20150825_31_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"32"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_32_neg_GC"	"20150825_32_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"33"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_33_neg_GC"	"20150825_33_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"34"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_34_neg_GC"	"20150825_34_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"35"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_35_neg_GC"	"20150825_35_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"36"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_36_neg_GC"	"20150825_36_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"37"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_37_neg_GC"	"20150825_37_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"38"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_38_neg_GC"	"20150825_38_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"39"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_39_neg_GC"	"20150825_39_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"40"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_40_neg_GC"	"20150825_40_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"41"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_41_neg_GC"	"20150825_41_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"42"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_42_neg_GC"	"20150825_42_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"43"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_43_neg_GC"	"20150825_43_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"44"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_44_neg_GC"	"20150825_44_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"45"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_45_neg_GC"	"20150825_45_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"46"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_46_neg_GC"	"20150825_46_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"47"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_47_neg_GC"	"20150825_47_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"48"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_48_neg_GC"	"20150825_48_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"49"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_49_neg_GC"	"20150825_49_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"51"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_51_neg_GC"	"20150825_51_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"52"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_52_neg_GC"	"20150825_52_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"53"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_53_neg_GC"	"20150825_53_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"54"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_54_neg_GC"	"20150825_54_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"55"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_55_neg_GC"	"20150825_55_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"56"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_56_neg_GC"	"20150825_56_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"57"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_57_neg_GC"	"20150825_57_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"58"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_58_neg_GC"	"20150825_58_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"59"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_59_neg_GC"	"20150825_59_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
