Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Cartridge type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
11	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_11_neg_HL	20150826_11_neg_HL.d	Data transformation			Metabolite identification		
12	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_12_neg_HL	20150826_12_neg_HL.d	Data transformation			Metabolite identification		
15	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_15_neg_HL	20150826_15_neg_HL.d	Data transformation			Metabolite identification		
16	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_16_neg_HL	20150826_16_neg_HL.d	Data transformation			Metabolite identification		
17	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_17_neg_HL	20150826_17_neg_HL.d	Data transformation			Metabolite identification		
18	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_18_neg_HL	20150826_18_neg_HL.d	Data transformation			Metabolite identification		
19	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_19_neg_HL	20150826_19_neg_HL.d	Data transformation			Metabolite identification		
20	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_20_neg_HL	20150826_20_neg_HL.d	Data transformation			Metabolite identification		
22	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_22_neg_HL	20150826_22_neg_HL.d	Data transformation			Metabolite identification		
23	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_23_neg_HL	20150826_23_neg_HL.d	Data transformation			Metabolite identification		
24	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_24_neg_HL	20150826_24_neg_HL.d	Data transformation			Metabolite identification		
25	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_25_neg_HL	20150826_25_neg_HL.d	Data transformation			Metabolite identification		
26	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_26_neg_HL	20150826_26_neg_HL.d	Data transformation			Metabolite identification		
27	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_27_neg_HL	20150826_27_neg_HL.d	Data transformation			Metabolite identification		
28	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_28_neg_HL	20150826_28_neg_HL.d	Data transformation			Metabolite identification		
29	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_29_neg_HL	20150826_29_neg_HL.d	Data transformation			Metabolite identification		
30	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_30_neg_HL	20150826_30_neg_HL.d	Data transformation			Metabolite identification		
31	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_31_neg_HL	20150826_31_neg_HL.d	Data transformation			Metabolite identification		
32	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_32_neg_HL	20150826_32_neg_HL.d	Data transformation			Metabolite identification		
33	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_33_neg_HL	20150826_33_neg_HL.d	Data transformation			Metabolite identification		
34	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_34_neg_HL	20150826_34_neg_HL.d	Data transformation			Metabolite identification		
35	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_35_neg_HL	20150826_35_neg_HL.d	Data transformation			Metabolite identification		
36	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_36_neg_HL	20150826_36_neg_HL.d	Data transformation			Metabolite identification		
37	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_37_neg_HL	20150826_37_neg_HL.d	Data transformation			Metabolite identification		
38	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_38_neg_HL	20150826_38_neg_HL.d	Data transformation			Metabolite identification		
39	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_39_neg_HL	20150826_39_neg_HL.d	Data transformation			Metabolite identification		
40	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_40_neg_HL	20150826_40_neg_HL.d	Data transformation			Metabolite identification		
41	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_41_neg_HL	20150826_41_neg_HL.d	Data transformation			Metabolite identification		
42	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_42_neg_HL	20150826_42_neg_HL.d	Data transformation			Metabolite identification		
43	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_43_neg_HL	20150826_43_neg_HL.d	Data transformation			Metabolite identification		
44	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_44_neg_HL	20150826_44_neg_HL.d	Data transformation			Metabolite identification		
45	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_45_neg_HL	20150826_45_neg_HL.d	Data transformation			Metabolite identification		
46	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_46_neg_HL	20150826_46_neg_HL.d	Data transformation			Metabolite identification		
47	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_47_neg_HL	20150826_47_neg_HL.d	Data transformation			Metabolite identification		
48	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_48_neg_HL	20150826_48_neg_HL.d	Data transformation			Metabolite identification		
49	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_49_neg_HL	20150826_49_neg_HL.d	Data transformation			Metabolite identification		
51	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_51_neg_HL	20150826_51_neg_HL.d	Data transformation			Metabolite identification		
52	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_52_neg_HL	20150826_52_neg_HL.d	Data transformation			Metabolite identification		
53	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_53_neg_HL	20150826_53_neg_HL.d	Data transformation			Metabolite identification		
54	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_54_neg_HL	20150826_54_neg_HL.d	Data transformation			Metabolite identification		
55	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_55_neg_HL	20150826_55_neg_HL.d	Data transformation			Metabolite identification		
56	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_56_neg_HL	20150826_56_neg_HL.d	Data transformation			Metabolite identification		
57	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_57_neg_HL	20150826_57_neg_HL.d	Data transformation			Metabolite identification		
58	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_58_neg_HL	20150826_58_neg_HL.d	Data transformation			Metabolite identification		
59	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_59_neg_HL	20150826_59_neg_HL.d	Data transformation			Metabolite identification		
60	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_60_neg_HL	20150826_60_neg_HL.d	Data transformation			Metabolite identification		
61	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_61_neg_HL	20150826_61_neg_HL.d	Data transformation			Metabolite identification		
62	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_62_neg_HL	20150826_62_neg_HL.d	Data transformation			Metabolite identification		
63	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_63_neg_HL	20150826_63_neg_HL.d	Data transformation			Metabolite identification		
64	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_64_neg_HL	20150826_64_neg_HL.d	Data transformation			Metabolite identification		
65	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_65_neg_HL	20150826_65_neg_HL.d	Data transformation			Metabolite identification		
66	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_66_neg_HL	20150826_66_neg_HL.d	Data transformation			Metabolite identification		
67	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_67_neg_HL	20150826_67_neg_HL.d	Data transformation			Metabolite identification		
68	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_68_neg_HL	20150826_68_neg_HL.d	Data transformation			Metabolite identification		
69	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_69_neg_HL	20150826_69_neg_HL.d	Data transformation			Metabolite identification		
70	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_70_neg_HL	20150826_70_neg_HL.d	Data transformation			Metabolite identification		
71	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_71_neg_HL	20150826_71_neg_HL.d	Data transformation			Metabolite identification		
72	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_72_neg_HL	20150826_72_neg_HL.d	Data transformation			Metabolite identification		
73	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_73_neg_HL	20150826_73_neg_HL.d	Data transformation			Metabolite identification		
74	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_74_neg_HL	20150826_74_neg_HL.d	Data transformation			Metabolite identification		
75	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_75_neg_HL	20150826_75_neg_HL.d	Data transformation			Metabolite identification		
76	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_76_neg_HL	20150826_76_neg_HL.d	Data transformation			Metabolite identification		
77	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_77_neg_HL	20150826_77_neg_HL.d	Data transformation			Metabolite identification		
78	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_78_neg_HL	20150826_78_neg_HL.d	Data transformation			Metabolite identification		
79	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_79_neg_HL	20150826_79_neg_HL.d	Data transformation			Metabolite identification		
80	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_80_neg_HL	20150826_80_neg_HL.d	Data transformation			Metabolite identification		
81	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_81_neg_HL	20150826_81_neg_HL.d	Data transformation			Metabolite identification		
82	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_82_neg_HL	20150826_82_neg_HL.d	Data transformation			Metabolite identification		
83	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_83_neg_HL	20150826_83_neg_HL.d	Data transformation			Metabolite identification		
84	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_84_neg_HL	20150826_84_neg_HL.d	Data transformation			Metabolite identification		
85	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_85_neg_HL	20150826_85_neg_HL.d	Data transformation			Metabolite identification		
86	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_86_neg_HL	20150826_86_neg_HL.d	Data transformation			Metabolite identification		
87	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_87_neg_HL	20150826_87_neg_HL.d	Data transformation			Metabolite identification		
