"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Nitrogen deprivation]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Chlamy_2_2h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_2_2h_1"	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_3_2h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_3_2h_1"	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_1_4h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_1_4h_1"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_2_4h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_2_4h_1"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_4_4h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_4_4h_1"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_1_6h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_1_6h_1"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_2_6h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_2_6h_1"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_3_6h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_3_6h_1"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_4_6h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_4_6h_1"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_1_12h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_1_12h_1"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_2_12h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_2_12h_1"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_3_12h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_3_12h_1"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_4_12h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_4_12h_1"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_1_24h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_1_24h_1"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_2_24h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_2_24h_1"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_3_24h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_3_24h_1"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_4_24h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_4_24h_1"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
