"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Section thickness]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"BRB04E"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB04E"	"BRB04E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BR04 E NEG MIDDLE - 2014-08-14 18.00.40.ndpi"	""	""	"BRB04E.tif"	""	""	"Data transformation"	""	"BRB04E.imzML"	"Metabolite identification"	""	""
"BRB04N"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB04N"	"BRB04N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BR04 NEG BOTTOM - 2014-08-14 18.14.54.ndpi"	""	""	"BRB04N.tif"	""	""	"Data transformation"	""	"BRB04N.imzML"	"Metabolite identification"	""	""
"BRB04S"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB04S"	"BRB04S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	""	""	""	"BRB04S.tif"	""	""	"Data transformation"	""	"BRB04S.imzML"	"Metabolite identification"	""	""
"BRB04W"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB04W"	"BRB04W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BR04W NEG TOP - 2014-08-14 18.10.37.ndpi"	""	""	"BRB04W.tif"	""	""	"Data transformation"	""	"BRB04W.imzML"	"Metabolite identification"	""	""
"BRB05C"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB05C"	"BRB05C.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB05C 5 NEG TOP - 2014-08-14 04.09.11.ndpi"	""	""	"BRB05C.tif"	""	""	"Data transformation"	""	"BRB05C.imzML"	"Metabolite identification"	""	""
"BRB05E"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB05E"	"BRB05E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB05E NEG TOP - 2014-08-14 18.07.24.ndpi"	""	""	"BRB05E.tif"	""	""	"Data transformation"	""	"BRB05E.imzML"	"Metabolite identification"	""	""
"BRB05N"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB05N"	"BRB05N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB05N 2 NEG MIDDLE - 2014-08-14 17.49.50.ndpi"	""	""	"BRB05N.tif"	""	""	"Data transformation"	""	"BRB05N.imzML"	"Metabolite identification"	""	""
"BRB05S"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB05S"	"BRB05S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB05S 5 NEG MIDDLE - 2014-08-14 17.52.28.ndpi"	""	""	"BRB05S.tif"	""	""	"Data transformation"	""	"BRB05S.imzML"	"Metabolite identification"	""	""
"BRB06E"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB06E"	"BRB06E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB06E 5 NEG BOTTOM - 2014-08-14 17.55.12.ndpi"	""	""	"BRB06E.tif"	""	""	"Data transformation"	""	"BRB06E.imzML"	"Metabolite identification"	""	""
"BRB06F2"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB06F2"	"BRB06F2.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB06FZ 4 NEG BOTTOM - 2014-08-14 04.02.51.ndpi"	""	""	"BRB06F2.tif"	""	""	"Data transformation"	""	"BRB06F2.imzML"	"Metabolite identification"	""	""
"BRB06N"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB06N"	"BRB06N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB06N 4 NEG BOTTOM - 2014-08-14 17.58.10.ndpi"	""	""	"BRB06N.tif"	""	""	"Data transformation"	""	"BRB06N.imzML"	"Metabolite identification"	""	""
"BRB06S"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB06S"	"BRB06S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB06S 4 NEG BOTTOM - 2014-08-14 17.47.23.ndpi"	""	""	"BRB06S.tif"	""	""	"Data transformation"	""	"BRB06S.imzML"	"Metabolite identification"	""	""
"BRB06W"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB06W"	"BRB06W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB06W 5 NEG BOTTOM - 2014-08-14 17.42.14.ndpi"	""	""	"BRB06W.tif"	""	""	"Data transformation"	""	"BRB06W.imzML"	"Metabolite identification"	""	""
"BRB07D"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB07D"	"BRB07D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB07D 3 NEG BOTTOM - 2014-08-14 03.21.40.ndpi"	""	""	"BRB07D.tif"	""	""	"Data transformation"	""	"BRB07D.imzML"	"Metabolite identification"	""	""
"BRB07E"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB07E"	"BRB07E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB07E 5 NEG BOTTOM - 2014-08-14 03.28.34.ndpi"	""	""	"BRB07E.tif"	""	""	"Data transformation"	""	"BRB07E.imzML"	"Metabolite identification"	""	""
"BRB07N"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB07N"	"BRB07N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB07N 8 NEG BOTTOM - 2014-08-13 21.49.03.ndpi"	""	""	"BRB07N.tif"	""	""	"Data transformation"	""	"BRB07N.imzML"	"Metabolite identification"	""	""
"BRB07S"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB07S"	"BRB07S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB07S 4 NEG BOTTOM - 2014-08-13 21.45.55.ndpi"	""	""	"BRB07S.tif"	""	""	"Data transformation"	""	"BRB07S.imzML"	"Metabolite identification"	""	""
