"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Victoria Univeristy.Subject-04.bloodplasma-2"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-011.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-04.bloodplasma-2"	"Victoria_University.Subject-04.bloodplasma-2.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-05.bloodplasma-2"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-012.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-05.bloodplasma-2"	"Victoria_University.Subject-05.bloodplasma-2.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-06.bloodplasma-2"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-013.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-06.bloodplasma-2"	"Victoria_University.Subject-06.bloodplasma-2.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-07.bloodplasma-2"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-014.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-07.bloodplasma-2"	"Victoria_University.Subject-07.bloodplasma-2.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-01.bloodplasma-3"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-015.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-01.bloodplasma-3"	"Victoria_University.Subject-01.bloodplasma-3.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-02.bloodplasma-3"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-016.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-02.bloodplasma-3"	"Victoria_University.Subject-02.bloodplasma-3.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-03.bloodplasma-3"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-017.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-03.bloodplasma-3"	"Victoria_University.Subject-03.bloodplasma-3.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-04.bloodplasma-3"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-018.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-04.bloodplasma-3"	"Victoria_University.Subject-04.bloodplasma-3.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-05.bloodplasma-3"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-019.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-05.bloodplasma-3"	"Victoria_University.Subject-05.bloodplasma-3.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-06.bloodplasma-3"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-020.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-06.bloodplasma-3"	"Victoria_University.Subject-06.bloodplasma-3.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-07.bloodplasma-3"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-021.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-07.bloodplasma-3"	"Victoria_University.Subject-07.bloodplasma-3.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-01.bloodplasma-4"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-022.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-01.bloodplasma-4"	"Victoria_University.Subject-01.bloodplasma-4.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-02.bloodplasma-4"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-023.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-02.bloodplasma-4"	"Victoria_University.Subject-02.bloodplasma-4.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-03.bloodplasma-4"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-024.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-03.bloodplasma-4"	"Victoria_University.Subject-03.bloodplasma-4.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-04.bloodplasma-4"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-025.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-04.bloodplasma-4"	"Victoria_University.Subject-04.bloodplasma-4.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-05.bloodplasma-4"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-026.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-05.bloodplasma-4"	"Victoria_University.Subject-05.bloodplasma-4.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-06.bloodplasma-4"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-027.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-06.bloodplasma-4"	"Victoria_University.Subject-06.bloodplasma-4.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-07.bloodplasma-4"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-028.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-07.bloodplasma-4"	"Victoria_University.Subject-07.bloodplasma-4.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-01.bloodplasma-5"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-029.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-01.bloodplasma-5"	"Victoria_University.Subject-01.bloodplasma-5.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-02.bloodplasma-5"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-030.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-02.bloodplasma-5"	"Victoria_University.Subject-02.bloodplasma-5.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
