bucket [0.04 ppm]	JGHw1dc1.MAS_1_1	JGHw1dc2.MAS_1_1	JGHw1dc3.MAS_1_1	JGHw1do1.MAS_1_1	JGHw1do2.MAS_2_1	JGHw1do3.MAS_1_1	JGHw2do1.MAS_1_1	JGHw2do2.MAS_1_1	JGHw2do3.MAS_1_1	JGHw3do1.MAS_1_1	JGHw3do2.MAS_1_1	JGHw3do3.MAS_1_1	JGham14c1.txi_1_1	JGham14c2.txi_1_1	JGham14c3.txi_1_1	JGham14o1.txi_1_1	JGham14o2.txi_1_1	JGham14o3.txi_1_1	JGham14o4.txi_1_1	JGHk1dc1.MAS_1_1	JGHk1dc2.MAS_1_1	JGHk1dc3.MAS_1_1	JGHk1do1.MAS_1_1	JGHk1do2.MAS_1_1	JGHk1do3.MAS_1_1	JGHk2do1.MAS_1_1	JGHk2do2.MAS_1_1	JGHk2do3.MAS_1_1	JGHk3do1.MAS_1_1	JGHk3do2.MAS_1_1	JGHk3do3.MAS_1_1
8.58	0.1251	0.2321	0.2488	0.4698	-0.1056	0.1469	0.1785	0.402	0.307	0.1408	0.3442	0.1817	0.9846	-0.0515	0.4192	0.0994	0.0768	0.3333	0.2206	0.2056	0.3097	0.0278	0.5026	-0.3487	0.371	0.3368	0.3416	0.2907	0.0266	0.1414	0.3097
8.54	0.103	0.219	0.2641	0.4775	-0.0914	0.1673	0.1997	0.4027	0.3354	0.1696	0.3666	0.1992	0.8874	0.4905	0.5791	0.4264	0.3458	0.5983	0.3305	0.232	0.3259	0.0411	0.5528	-0.2759	0.3373	0.3657	0.3362	0.3323	0.0426	0.1219	0.3528
8.5	0.1123	0.2253	0.2837	0.5038	-0.0722	0.1917	0.2372	0.4245	0.3611	0.2334	0.4001	0.2176	0.9769	0.0326	0.7899	0.2576	0.2032	0.8092	0.6108	0.2514	0.352	0.0212	0.5824	-0.2444	0.3327	0.392	0.3689	0.3415	0.067	0.1759	0.3913
8.46	0.1494	0.2618	0.3199	0.5554	-0.0225	0.2557	0.2907	0.464	0.4269	0.3076	0.4561	0.2461	0.7054	0.2886	0.4417	0.6042	0.3757	0.6503	0.5815	0.2758	0.3951	0.0554	0.648	-0.1784	0.3897	0.4523	0.4133	0.3734	0.1438	0.1881	0.4638
8.42	0.1829	0.2682	0.3241	0.5995	0.0018	0.2752	0.3197	0.4939	0.4552	0.3294	0.4661	0.2584	0.499	0.0797	0.2586	0.3358	0.1738	0.544	0.2917	0.3063	0.4416	0.0987	0.6736	-0.2188	0.4253	0.4824	0.4633	0.4164	0.114	0.316	0.5119
8.38	0.2197	0.3326	0.3486	0.6122	0.0415	0.3073	0.3412	0.5177	0.4805	0.3869	0.5231	0.3013	0.3665	0.1991	0.2169	0.2991	0.2634	0.5324	0.2337	0.3552	0.5	0.1728	0.7161	-0.1091	0.462	0.5201	0.4878	0.456	0.129	0.3482	0.5506
8.34	0.387	0.5293	0.3936	0.7121	0.0963	0.3801	0.4431	0.5941	0.5195	0.4164	0.5095	0.3437	0.3787	0.2766	0.2921	0.3348	0.3189	0.6214	0.3404	0.4521	0.6195	0.3371	0.8335	0.1182	0.5275	0.5946	0.6362	0.5496	0.186	0.382	0.6198
8.3	0.1924	0.3333	0.3684	0.645	0.0576	0.3204	0.3928	0.5446	0.5009	0.3686	0.5063	0.3031	0.4279	0.881	0.5574	0.7877	0.6529	1.1387	0.8961	0.3459	0.501	0.1857	0.7349	-0.001	0.458	0.5201	0.493	0.4775	0.1443	0.3364	0.5878
8.26	0.3246	0.4558	0.4506	0.7255	0.1439	0.3827	0.4528	0.6247	0.5665	0.5563	0.6371	0.395	2.3917	2.7456	2.3741	1.4073	1.4818	1.7001	1.7687	0.4541	0.6232	0.3051	0.866	0.0695	0.5704	0.6344	0.644	0.5908	0.2317	0.4425	0.6727
8.22	0.5917	0.7066	0.5997	0.8374	0.2904	0.5245	0.5679	0.6977	0.7423	0.5393	0.7586	0.4778	1.2427	0.6429	0.9693	0.4722	0.4687	0.7022	0.5412	0.7305	0.8621	0.5594	1.0187	0.1507	0.703	0.762	0.7642	0.7285	0.3065	0.5198	0.819
8.18	0.3827	0.4843	0.5099	0.6914	0.1302	0.3652	0.3805	0.582	0.5555	0.3361	0.5063	0.3412	1.4541	0.5402	1.4162	0.5887	0.475	0.7878	0.46	0.5473	0.654	0.4225	0.782	-0.0809	0.5342	0.601	0.5815	0.5595	0.273	0.2877	0.6104
8.14	0.1924	0.2904	0.3594	0.5865	0.0116	0.247	0.3	0.5103	0.4507	0.3029	0.4441	0.2683	0.6793	0.3533	0.4669	0.5096	0.6096	0.7442	0.5533	0.3127	0.4402	0.1215	0.6565	-0.0766	0.4089	0.4524	0.4338	0.3872	0.1202	0.2266	0.4942
8.1	0.179	0.2899	0.351	0.6297	0.0243	0.2462	0.296	0.523	0.4422	0.3132	0.461	0.2743	0.6331	0.608	0.5926	1.254	1.4556	1.03	1.8787	0.3262	0.4484	0.1623	0.6922	-0.0614	0.4657	0.4701	0.4868	0.4291	0.1106	0.2533	0.51
8.06	0.1691	0.2856	0.3308	0.609	0.0372	0.2517	0.3028	0.5274	0.4594	0.3133	0.4636	0.2503	0.5666	0.2597	0.5215	2.6744	1.4782	3.4154	1.8082	0.2987	0.438	0.1451	0.6921	-0.0442	0.4725	0.4847	0.4639	0.4389	0.1304	0.303	0.5202
8.02	0.1573	0.2939	0.3351	0.6133	0.0368	0.2493	0.2767	0.5164	0.44	0.2996	0.5137	0.2607	0.5215	0.1302	0.6275	0.1497	0.2305	0.3352	0.0133	0.3141	0.4492	0.1551	0.6748	0.0334	0.3622	0.4724	0.4663	0.4132	0.1653	0.3097	0.5017
7.98	0.1726	0.2805	0.3149	0.7235	0.0663	0.2817	0.4452	0.5723	0.5242	0.3631	0.4995	0.2587	0.3034	0.2639	0.2057	0.4025	0.4324	0.5921	0.2237	0.3056	0.45	0.1984	0.7398	-0.0061	0.3996	0.5609	0.6408	0.559	0.1939	0.5017	0.5304
7.94	0.2802	0.378	0.4232	0.8833	0.1854	0.3374	0.6331	0.6604	0.4262	0.3273	0.4342	0.3142	0.3369	0.7853	0.3453	1.559	1.7663	1.1135	1.955	0.3665	0.5075	0.2762	0.8499	0.0824	0.5347	0.7267	0.794	0.7101	0.4461	0.5573	0.6623
7.9	0.1756	0.2903	0.3708	0.8213	0.2067	0.3387	0.5247	0.8804	0.6278	0.3356	0.4595	0.3341	0.8041	0.6721	0.5433	3.5189	2.2006	3.6217	2.4401	0.3437	0.5094	0.1629	0.9677	0.0798	0.6609	0.7251	0.7987	0.7248	0.6513	0.7046	0.9219
7.86	0.4514	0.526	0.5018	1.3081	0.5809	0.8351	0.8108	1.2809	1.1109	0.3351	0.4587	0.2947	0.7204	0.3357	0.6843	0.442	0.5818	1.1518	0.2173	0.4272	0.5467	0.379	1.1278	0.4317	0.8932	1.1045	1.3304	1.4067	0.8724	0.981	1.2625
7.82	0.2069	0.2854	0.3633	0.6095	0.0624	0.21	0.288	0.5206	0.4258	0.2938	0.4082	0.2494	0.4581	0.5032	0.3638	0.7317	0.9863	0.9041	0.5908	0.3244	0.442	0.2542	0.6352	-0.0748	0.3555	0.4233	0.4525	0.4244	0.1258	0.298	0.4625
7.78	0.1387	0.2605	0.3122	0.5823	0.0018	0.1772	0.2391	0.5013	0.3684	0.2908	0.3969	0.2398	0.5194	0.4893	0.5236	1.0367	0.8368	1.3926	0.8453	0.297	0.4185	0.1485	0.6014	-0.0678	0.3033	0.4031	0.4043	0.3662	0.0314	0.2563	0.3796
7.74	0.148	0.2775	0.3155	0.6103	0.0182	0.1855	0.2269	0.5162	0.3591	0.3119	0.4237	0.2423	0.6374	0.6515	0.6737	0.4458	0.582	0.7556	0.2811	0.2946	0.4179	0.152	0.6235	-0.1464	0.3157	0.4304	0.425	0.3849	0.0339	0.285	0.3994
7.7	0.1691	0.3002	0.3163	0.6354	0.0531	0.2217	0.2692	0.5494	0.3758	0.3585	0.4457	0.2561	0.7814	0.6648	0.6252	0.666	0.7614	0.885	0.511	0.3228	0.4334	0.1886	0.6466	-0.088	0.3421	0.4446	0.4459	0.4081	0.045	0.2542	0.4348
7.66	0.1713	0.2873	0.3402	0.6426	0.0806	0.2234	0.2814	0.5678	0.4016	0.4113	0.4738	0.2748	0.6449	0.5418	0.6269	0.5362	0.5479	0.8126	0.1989	0.3513	0.4931	0.21	0.6965	-0.0568	0.3779	0.4763	0.4688	0.4438	0.0488	0.2279	0.4853
7.62	0.2446	0.3785	0.3874	0.7279	0.1616	0.2984	0.3797	0.6532	0.4873	0.5125	0.5606	0.3305	0.6882	0.7612	0.7921	0.6186	0.696	0.9947	0.3868	0.4091	0.5675	0.2966	0.7996	0.0292	0.4428	0.5853	0.5801	0.5341	0.1227	0.4526	0.5769
7.58	0.2821	0.4174	0.4084	0.7773	0.1955	0.3406	0.4179	0.6693	0.5028	0.4921	0.5525	0.3403	0.7111	0.5068	0.5661	0.6288	0.6684	0.95	0.1479	0.4502	0.605	0.3648	0.8147	0.2177	0.4691	0.6083	0.6107	0.5659	0.1336	0.3666	0.5946
7.54	0.3161	0.4151	0.4693	0.8046	0.2554	0.3567	0.4312	0.7382	0.5509	0.4998	0.6179	0.3737	0.3915	0.3147	0.2958	0.5855	0.602	0.8408	0.0986	0.5193	0.6466	0.4246	0.8875	0.2186	0.5545	0.7472	0.7252	0.6873	0.3679	0.569	0.7256
7.5	0.2747	0.4004	0.4348	0.7752	0.1691	0.3185	0.3779	0.6759	0.4572	0.4581	0.5171	0.3387	0.2935	0.3642	0.3166	0.8538	0.8372	1.2462	0.0558	0.4433	0.6019	0.3427	0.7946	0.1594	0.4376	0.5892	0.61	0.5553	0.0975	0.3851	0.5688
7.46	0.2971	0.4049	0.434	0.775	0.1944	0.3134	0.3596	0.6809	0.4439	0.4772	0.549	0.3431	0.3112	0.4405	0.3688	0.6063	0.6357	0.9022	0.121	0.442	0.613	0.3855	0.7857	0.1637	0.4613	0.6001	0.6339	0.5874	0.0932	0.468	0.5656
7.42	0.3919	0.5071	0.5587	0.8513	0.3386	0.3725	0.4322	0.8015	0.5293	0.5293	0.6256	0.4081	0.4373	0.6763	0.5837	0.7934	0.8176	1.0515	0.337	0.557	0.7037	0.5432	0.8978	0.2478	0.5708	0.7024	0.7442	0.7158	0.1588	0.5101	0.6984
7.38	0.4419	0.5419	0.5924	0.8785	0.3589	0.4033	0.465	0.8307	0.5477	0.5627	0.6471	0.4322	0.5298	0.7281	0.5861	0.5764	0.6083	0.8803	0.3311	0.5654	0.7377	0.5741	0.8998	0.2155	0.5791	0.7258	0.7805	0.7387	0.1484	0.6105	0.7026
7.34	0.5549	0.6102	0.6977	0.9476	0.4636	0.4811	0.5319	0.9149	0.6204	0.5991	0.7246	0.481	0.6513	0.9494	0.7621	0.7725	0.8063	1.0381	0.5282	0.6496	0.8187	0.714	1.0016	0.2787	0.6717	0.8098	0.8683	0.8405	0.234	0.7278	0.7856
7.3	0.4607	0.6	0.6213	0.9244	0.3779	0.4349	0.5004	0.8569	0.5692	0.5766	0.6287	0.4675	0.8883	1.0362	1.0413	0.9263	0.8738	1.152	0.6338	0.5917	0.7439	0.5952	0.9397	0.3191	0.5986	0.7597	0.8061	0.7869	0.1213	0.7329	0.7136
7.26	0.4618	0.5903	0.6156	0.9519	0.3747	0.4425	0.5216	0.886	0.5709	0.586	0.6275	0.4599	0.9303	1.0661	1.0706	0.925	0.9381	1.1983	0.6814	0.6031	0.7429	0.5929	0.9411	0.3462	0.6054	0.7633	0.8145	0.7772	0.1365	0.6849	0.7131
7.22	0.4862	0.6001	0.6172	0.9449	0.4232	0.4307	0.502	0.8945	0.5727	0.5987	0.7194	0.4682	0.7988	0.9112	0.9088	0.8055	0.8166	1.0909	0.5425	0.6082	0.7567	0.6291	0.9486	0.3648	0.6072	0.7523	0.8181	0.7814	0.1975	0.6753	0.7214
7.18	0.5177	0.6169	0.6783	0.9631	0.504	0.4811	0.5377	0.9235	0.6171	0.613	0.7434	0.4858	0.8022	1.0469	0.8978	0.8698	0.8969	1.192	0.6376	0.657	0.7758	0.6437	0.9737	0.3453	0.6795	0.8084	0.8421	0.8376	0.277	0.7297	0.7564
7.14	0.4577	0.6244	0.6081	0.9729	0.4959	0.4918	0.5789	0.9071	0.6665	0.6758	0.6689	0.4881	0.8833	0.9098	0.9763	0.8277	0.8114	1.1036	0.4765	0.6165	0.772	0.6053	0.983	0.4226	0.6779	0.8028	0.8435	0.7928	0.3291	0.6992	0.804
7.1	0.5806	0.7147	0.7286	1.0329	0.4084	0.5192	0.561	0.9765	0.5669	0.6276	0.6195	0.5279	0.7802	0.8947	0.8413	0.8071	0.8099	1.1095	0.461	0.7026	0.8464	0.7393	1.0496	0.4749	0.6704	0.8233	0.9384	0.9323	0.1862	0.8366	0.7661
7.06	0.4736	0.6277	0.6169	0.946	0.393	0.4497	0.5202	0.8941	0.5566	0.6229	0.6014	0.4708	0.6521	0.8388	0.7273	0.8053	0.7657	1.0774	0.4166	0.6535	0.7467	0.6436	0.9436	0.3833	0.6209	0.7972	0.8558	0.8362	0.1506	0.6945	0.7393
7.02	0.4291	0.5605	0.5594	0.9301	0.3604	0.4037	0.491	0.8504	0.5176	0.6215	0.5831	0.4367	0.6169	1.1957	0.7156	1.0752	1.0069	1.3449	0.7164	0.5961	0.6995	0.5749	0.9059	0.3688	0.5416	0.7647	0.8048	0.7808	0.111	0.7452	0.683
6.98	0.3969	0.5429	0.5396	0.9036	0.3448	0.3897	0.4511	0.8157	0.5101	0.6186	0.5747	0.4382	0.879	0.7396	0.7501	0.6511	0.6694	0.9724	0.2541	0.5662	0.699	0.5608	0.8873	0.2727	0.5643	0.7422	0.7763	0.7296	0.1121	0.7676	0.675
6.94	0.3673	0.5185	0.5018	0.8763	0.3661	0.3856	0.4467	0.8369	0.5223	0.6606	0.6249	0.448	0.576	0.7226	0.5876	0.6819	0.6824	0.9765	0.2616	0.595	0.7128	0.5715	0.8953	0.4166	0.569	0.7777	0.7817	0.7686	0.1614	0.6852	0.6873
6.9	0.5003	0.5424	0.6091	0.9133	0.505	0.4556	0.5231	0.8922	0.6461	0.7589	0.7793	0.4876	0.4485	0.6637	0.4786	0.6526	0.6188	0.9093	0.1517	0.6728	0.7919	0.6854	1.0217	0.5297	0.7176	0.8585	0.8345	0.8381	0.3404	0.7168	0.8579
6.86	0.3526	0.479	0.4709	0.8799	0.3749	0.3999	0.4987	0.8191	0.6034	0.6823	0.6168	0.4391	0.4018	0.7508	0.4869	0.6889	0.6931	0.9976	0.2019	0.5594	0.7091	0.5058	0.9329	0.3766	0.6269	0.7837	0.7455	0.7146	0.2496	0.6998	0.732
6.82	0.3591	0.4897	0.4706	0.8589	0.3752	0.3697	0.4687	0.8341	0.5532	0.632	0.5856	0.4439	0.4697	0.7806	0.6471	0.757	0.7257	1.0387	0.2686	0.5863	0.7235	0.5995	0.8994	0.3404	0.5942	0.8073	0.7949	0.7477	0.2439	0.7019	0.7417
6.78	0.2954	0.4356	0.4009	0.812	0.2892	0.3097	0.3637	0.7534	0.4528	0.5563	0.4887	0.3558	0.4728	0.6369	0.5589	0.686	0.6342	0.9515	0.1055	0.5132	0.6081	0.5209	0.7882	0.193	0.4757	0.6792	0.7125	0.6764	0.1843	0.581	0.6096
6.74	0.2037	0.3322	0.2994	0.7318	0.1787	0.214	0.2472	0.6523	0.3503	0.4797	0.4162	0.2722	0.2631	0.449	0.3336	0.5483	0.5207	0.8486	-0.0508	0.3918	0.4896	0.3471	0.6559	0.1817	0.356	0.5381	0.5245	0.5161	0.0785	0.5934	0.4381
6.7	0.1419	0.2781	0.2357	0.6631	0.131	0.1219	0.1823	0.6265	0.2951	0.4422	0.3714	0.2381	0.1082	0.3568	0.1783	0.4309	0.447	0.7375	-0.2044	0.3334	0.4379	0.3293	0.6	0.0168	0.2751	0.4873	0.4692	0.4253	0.0611	0.4631	0.3593
6.66	0.1106	0.2284	0.2077	0.6414	0.1195	0.1016	0.1411	0.6007	0.2513	0.4402	0.3528	0.2386	-0.0085	0.3236	0.0882	0.4168	0.4256	0.7398	-0.2251	0.3281	0.4293	0.2982	0.5682	0.0713	0.2469	0.4784	0.4525	0.4465	0.0677	0.4436	0.3392
6.62	0.09	0.2116	0.164	0.6341	0.0951	0.0568	0.1173	0.5954	0.2185	0.4543	0.3366	0.2388	-0.0723	0.2942	0.051	0.402	0.4225	0.7082	-0.2602	0.3154	0.39	0.2785	0.544	0.0656	0.2318	0.4687	0.4636	0.4214	0.0729	0.4342	0.3059
6.58	0.0486	0.1611	0.1308	0.6197	0.0806	0.0645	0.1091	0.5512	0.2096	0.4547	0.325	0.1874	-0.0705	0.3312	0.0732	0.4809	0.4565	0.7898	-0.172	0.3076	0.376	0.2631	0.5233	-0.019	0.2299	0.4488	0.4042	0.3671	0.1405	0.4226	0.2797
6.54	0.0121	0.0968	0.0727	0.584	0.0213	-0.0158	-0.0082	0.4963	0.131	0.397	0.2734	0.1397	-0.1413	0.296	0.0353	0.3613	0.3935	0.6936	-0.279	0.2493	0.3242	0.2247	0.4535	-0.0915	0.1601	0.3966	0.3383	0.3357	0.0903	0.4445	0.2279
6.5	-0.0557	0.0347	-0.0169	0.5147	-0.0431	-0.1047	-0.0877	0.4496	0.0594	0.3275	0.206	0.0859	-0.1863	0.2222	-0.0371	0.3719	0.3701	0.6625	-0.4004	0.1793	0.2481	0.169	0.3783	-0.1882	0.0669	0.3208	0.2676	0.2675	0.0215	0.326	0.1177
6.46	-0.0966	0.0015	-0.0436	0.4757	-0.0787	-0.1339	-0.1356	0.4257	0.0195	0.338	0.1946	0.0602	-0.2848	0.2132	-0.0726	0.355	0.3711	0.6613	-0.4	0.136	0.2185	0.1229	0.3557	-0.2027	0.0165	0.2946	0.2571	0.2275	-0.0053	0.3602	0.0882
6.42	-0.1145	-0.0143	-0.0913	0.4397	-0.0966	-0.1539	-0.1456	0.4023	-0.0037	0.3333	0.1662	0.0447	-0.3197	0.2153	-0.1075	0.3848	0.3737	0.6796	-0.408	0.1375	0.2171	0.1175	0.3252	-0.1529	-0.0056	0.3141	0.2428	0.2076	0.0126	0.3902	0.074
6.38	-0.1482	-0.0461	-0.1289	0.4421	-0.0854	-0.1756	-0.1812	0.3843	-0.0367	0.335	0.1703	0.0363	-0.3696	0.2181	-0.1175	0.3958	0.396	0.6999	-0.3856	0.1067	0.2129	0.1011	0.3099	-0.0943	-0.0178	0.3074	0.2083	0.2021	0.0095	0.3846	0.0596
6.34	-0.1607	-0.0565	-0.1448	0.4497	-0.099	-0.1978	-0.2057	0.3809	-0.0541	0.3353	0.1536	0.0228	-0.393	0.2282	-0.1299	0.4322	0.4161	0.7227	-0.3841	0.1076	0.1971	0.1078	0.3001	-0.0899	-0.0092	0.3026	0.1924	0.1806	0.006	0.4706	0.0154
6.3	-0.1667	-0.0688	-0.1686	0.4496	-0.1083	-0.2134	-0.2299	0.3981	-0.0739	0.3469	0.1487	0.01	-0.4257	0.2836	-0.126	0.4808	0.4574	0.7616	-0.3462	0.1059	0.2001	0.1176	0.3065	-0.2509	-0.0352	0.3098	0.2007	0.1776	-0.0073	0.3667	0.0078
6.26	-0.161	-0.0598	-0.1699	0.4606	-0.0953	-0.2044	-0.2564	0.4148	-0.086	0.3981	0.1522	0.0477	-0.4085	0.3661	-0.1116	0.5643	0.514	0.8545	-0.2523	0.1221	0.2281	0.1331	0.3118	-0.1345	-0.0452	0.3179	0.2102	0.2198	-0.0211	0.5076	0.0108
6.22	-0.1185	-0.0497	-0.1557	0.5324	-0.0525	-0.1619	-0.1885	0.4449	-0.0691	0.4626	0.1934	0.0655	-0.2094	0.687	0.186	0.8224	0.7705	1.0887	0.0619	0.1595	0.2914	0.1888	0.3906	-0.1237	0.0189	0.3934	0.2795	0.2525	0.0591	0.5774	0.0622
6.18	-0.1362	-0.0401	-0.1728	0.5662	-0.0571	-0.1522	-0.2338	0.4393	-0.0994	0.4343	0.1756	0.0464	-0.1912	0.8921	0.1545	1.0206	0.8368	1.3073	0.2653	0.1681	0.2639	-0.0051	0.3522	-0.1372	-0.0206	0.3711	0.2873	0.2525	0.0255	0.5779	0.0452
6.14	-0.106	-0.0417	-0.1793	0.5797	-0.0358	-0.1731	-0.2057	0.4847	-0.0853	0.5316	0.2232	0.1201	1.9586	2.8245	2.3342	2.2555	1.7054	2.422	1.4825	0.1881	0.3199	-0.0075	0.4356	0.0349	0.0317	0.414	0.3377	0.2985	0.0624	0.7251	0.0597
6.1	0.1266	0.2145	-0.0953	0.7519	0.1006	-0.0056	-0.0818	0.5839	-0.0074	0.6533	0.2969	0.1864	0.5377	0.7911	0.3214	1.164	1.0228	1.4175	0.4661	0.3268	0.5025	0.3009	0.5577	0.1739	0.1384	0.5261	0.451	0.402	0.213	0.7969	0.2016
6.06	-0.0684	-0.0035	-0.1475	0.6677	0.0722	-0.0771	-0.1792	0.5712	-0.0163	0.559	0.2329	0.1193	2.1998	2.3082	3.0737	3.6074	2.5855	3.3174	3.8695	0.2559	0.3828	0.0888	0.456	0.1117	0.1168	0.5215	0.3981	0.4017	0.138	0.8393	0.143
6.02	-0.1281	-0.0255	-0.2133	0.6903	-0.019	-0.1352	-0.1875	0.518	-0.1092	0.5219	0.1882	0.0484	1.303	2.1265	1.4224	6.6739	4.566	5.4155	4.1188	0.1959	0.3021	0.0346	0.4325	0.0041	0.0268	0.4977	0.4439	0.3567	0.0392	0.9537	0.0862
5.98	-0.1081	-0.0451	-0.2741	1.0974	-0.0365	-0.0242	0.3636	0.6607	-0.114	0.5045	0.1547	0.0277	0.9463	1.9187	0.7046	6.4253	5.1155	5.9556	7.6024	0.1637	0.2804	0.0038	0.7086	0.3389	0.1023	0.8925	1.0105	0.9551	0.3586	1.4335	0.2153
5.94	-0.1412	-0.0466	-0.2901	0.8696	0.2167	-0.0503	0.0503	0.9015	0.1614	0.5989	0.2417	0.0629	1.1247	1.5154	1.4524	3.8587	3.0328	4.5254	3.1377	0.1581	0.3107	0.0419	0.7465	0.3026	0.3193	0.8626	0.7894	0.6991	0.6432	1.475	0.6296
5.9	0.1139	0.2112	-0.1833	1.7233	1.0195	0.8438	0.754	1.774	1.1792	0.6147	0.2114	0.1122	0.2693	0.81	0.5438	0.8242	1.1932	1.524	0.4547	0.2463	0.4572	0.2291	1.3684	1.0347	1.1049	1.7028	1.727	1.89	2.0116	2.284	1.6857
5.86	-0.1421	-0.0539	-0.2978	0.6304	0.0155	-0.1706	-0.2469	0.5464	-0.0858	0.591	0.1789	0.0363	-0.1168	0.7623	0.3454	0.674	0.9709	0.9564	-0.3023	0.1788	0.3503	0.0742	0.4027	0.0786	0.0234	0.4612	0.3482	0.3479	0.178	1.0766	0.0696
5.82	-0.1074	0.0109	-0.2609	0.6947	0.0936	-0.128	-0.2243	0.6178	-0.1	0.7934	0.3885	0.1114	-0.2144	0.8011	0.423	0.6446	0.854	0.9504	-0.3204	0.2753	0.488	0.1601	0.5562	0.2933	0.1493	0.669	0.4753	0.4811	0.2752	1.415	0.2713
5.78	-0.0405	0.0676	-0.1791	0.8086	0.1648	-0.0158	-0.1371	0.6873	-0.0388	0.8022	0.3207	0.1669	-0.2817	0.8459	0.3297	0.7199	0.8899	0.9972	-0.2204	0.3639	0.6358	0.2484	0.6771	0.3412	0.2183	0.7257	0.5258	0.5567	0.2217	1.3357	0.3114
