"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[incubation time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"20150813_131_JH_EC_exp15-07-29_fast_label_nLC_LTQ_internal_standard"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_131_JH_EC_exp15-07-29_fast_label_nLC_LTQ_internal_standard"	""	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_134_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s1_0sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_134_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s1_0sec"	"0"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_138_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s4_3sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_138_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s4_3sec"	"3"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_140_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s5_6sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_140_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s5_6sec"	"6"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_142_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s6_11sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_142_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s6_11sec"	"11"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_144_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s7_16sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_144_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s7_16sec"	"16"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_146_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s8_20sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_146_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s8_20sec"	"20"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_148_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s9_30sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_148_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s9_30sec"	"30"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_150_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s10_40sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_150_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s10_40sec"	"40"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_154_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s12_90sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_154_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s12_90sec"	"90"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_159_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s13_120sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_159_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s13_120sec"	"120"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_161_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s14_160sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_161_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s14_160sec"	"160"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_163_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s15_200sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_163_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s15_200sec"	"200"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_165_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s16_270sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_165_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s16_270sec"	"270"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_167_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s17_300sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_167_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s17_300sec"	"300"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_169_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s18_400sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_169_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s18_400sec"	"400"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_171_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s19_500sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_171_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s19_500sec"	"500"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_173_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s20_600sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_173_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s20_600sec"	"600"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_182_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s2_1s"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_182_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s2_1s"	"1"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150815_184_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s11_60sec_3"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150815_184_JH_exp15-08-04_fast_label_rep2_nLC_QEx_s11_60sec_3"	"60"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
