"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[stress]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[geneknockout]"	"Term Source REF"	"Term Accession Number"
"B111"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"11"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B112"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"12"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.2"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B113"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"13"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B114"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"14"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B115"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"15"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B116"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"16"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B117"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"17"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B118"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"18"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B119"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"19"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B120"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.2"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B121"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"21"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.2"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B122"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"22"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B123"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B124"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"24"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B125"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"25"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B126"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B127"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"27"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B128"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"28"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B129"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"29"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B130"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B131"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"31"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B132"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"32"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B133"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"33"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B134"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"34"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B135"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"35"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B136"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"36"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B21"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"37"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B22"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"38"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B23"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B24"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"40"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.2"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B25"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"41"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B26"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"42"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B27"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"43"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B28"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B29"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"45"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B210"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"46"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.2"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B211"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"47"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.6"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B212"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"48"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.2"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B213"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"49"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B214"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B215"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"51"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.2"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B216"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"52"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
