"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample11_int"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample12_int"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample13_int"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample14_int"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample15_int"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample16_int"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample17_int"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample18_int"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample1_ext"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample8_ext"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample12_ext"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample13_ext"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample14_ext"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample17_ext"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample9_ext"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample18_ext"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample3_ext"	"17"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample5_ext"	"17"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample7_ext"	"17"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample6_ext"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample10_ext"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample2_ext"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample4_ext"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"exometabolome"	""	""	"Sample collection"	"Syn2_sample16_ext"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
