"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"B5"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"B5"	"B5_PVP.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B6"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"B6"	"B6_PVP.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"C1"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"C1"	"C1_Bulk.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"C2"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"C2"	"C2_Bulk.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"C3"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"C3"	"C3_Bulk.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"C4"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"C4"	"C4_Bulk.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"C5"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"C5"	"C5_Bulk.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"C6"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"C6"	"C6_Bulk.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"D1"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D1"	"D1_AgNPH.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"D2"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D2"	"D2_AgNPH.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"D5"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D5"	"D5_AgNPH.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"D6"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D6"	"D6_AgNPH.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E1"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"E1"	"E1_AgNPM.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E2"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"E2"	"E2_AgNPM.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E3"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"E3"	"E3_AgNPM.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E5"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"E5"	"E5_AgNPM.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E6"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"E6"	"E6_AgNPM.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"F1"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"F1"	"F1_AgNPL.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
