"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Material sample]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time elapsed]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Pig 4 - T6"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 4 - T6"	"Perfusate"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 4 - T12"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 4 - T12"	"Perfusate"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 4 - T18"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 4 - T18"	"Perfusate"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 4 - T24"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 4 - T24"	"Perfusate"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 5 - T6"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 5 - T6"	"Perfusate"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 5 - T12"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 5 - T12"	"Perfusate"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 5 - T18"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 5 - T18"	"Perfusate"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 5 - T24"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 5 - T24"	"Perfusate"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 6 - T6"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 6 - T6"	"Perfusate"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 6 - T12"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 6 - T12"	"Perfusate"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 6 - T18"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 6 - T18"	"Perfusate"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 6 - T24"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 6 - T24"	"Perfusate"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 1 - Tissue "	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 1 - Tissue "	"Tissue extract"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 2 - Tissue"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 2 - Tissue"	"Tissue extract"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 3 - Tissue"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 3 - Tissue"	"Tissue extract"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 4 - Tissue"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 4 - Tissue"	"Tissue extract"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 5 - Tissue"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 5 - Tissue"	"Tissue extract"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 6 - Tissue"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 6 - Tissue"	"Tissue extract"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
