"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Comment[Exhalion file]"
"20180921_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180921_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180921_02_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180921_02_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_21__13_37_43.txt"
"20180924_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180924_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180924_01_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180924_01_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_24__13_45_34.txt"
"20180925_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180925_01_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_01_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__09_37_31.txt"
"20180925_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20180925_02_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_02_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__10_36_10.txt"
"20180925_03_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_03_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20180925_03_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_03_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__10_44_10.txt"
"20180925_04_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_04_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20180925_04_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_04_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__11_15_00.txt"
"20180925_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180925_05_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_05_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__12_18_03.txt"
"20180925_06_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_06_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20180925_06_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_06_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__14_14_53.txt"
"20180925_07_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_07_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20180925_07_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_07_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__14_23_52.txt"
"20180925_08_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_08_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180925_08_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_08_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__14_40_38.txt"
"20180925_09_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_09_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20180925_09_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_09_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__14_47_31.txt"
"20180925_10_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_10_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180925_10_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_10_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__14_58_42.txt"
"20180925_11_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180925_11_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180925_11_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180925_11_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_25__17_28_03.txt"
"20180926_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180926_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180926_01_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180926_01_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_26__10_54_52.txt"
"20180926_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180926_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180926_02_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180926_02_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_26__11_16_18.txt"
"20180926_03_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180926_03_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180926_03_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180926_03_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_26__12_22_14.txt"
"20180926_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180926_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180926_04_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180926_04_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_26__13_20_39.txt"
"20180926_05_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180926_05_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180926_05_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180926_05_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_26__13_27_39.txt"
"20180926_06_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180926_06_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180926_06_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180926_06_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_26__14_57_13.txt"
"20180926_07_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180926_07_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180926_07_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180926_07_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_26__15_04_37.txt"
"20180926_08_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180926_08_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180926_08_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180926_08_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_26__15_15_22.txt"
"20180926_09_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180926_09_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180926_09_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180926_09_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_26__16_16_10.txt"
"20180926_10_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180926_10_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180926_10_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180926_10_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_26__17_41_56.txt"
"20180927_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180927_01_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_01_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__09_28_17.txt"
"20180927_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180927_02_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_02_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__10_31_02.txt"
"20180927_03_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_03_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180927_03_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_03_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__10_50_19.txt"
"20180927_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180927_04_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_04_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__10_56_29.txt"
"20180927_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180927_05_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_05_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__11_25_50.txt"
"20180927_07_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_07_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180927_07_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_07_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__12_33_23.txt"
