"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Stable isotope]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Stress duration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Symbiotic partner]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"102S_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"6"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"103S_1"	"12C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"1"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"104S_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"2"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"105S_1"	"12C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"3"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"106S_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"4"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"107S_1"	"12C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"5"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"108S_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"6"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"109S_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"1"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"110S_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"2"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"111S_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"3"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"112S_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"4"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"113S_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"5"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"114S_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"6"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"115S_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"1"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"116S_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"2"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"117S_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"3"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"118S_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"4"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"119S_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"5"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"120S_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"6"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"7H_2"	"12C"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Dark"	""	""	"1"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"8H_1"	"12C "	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Dark"	""	""	"2"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"9H_1"	"12C "	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Dark"	""	""	"3"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"10H_1"	"13C "	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Dark"	""	""	"4"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"11H_1"	"13C "	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Dark"	""	""	"5"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"12H_1"	"13C "	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Dark "	""	""	"6"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"25H_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"1"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"26H_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"2"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"27H_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"3"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"28H_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"4"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"29H_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"5"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"30H_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"6"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"31H_1"	"12C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"1"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"32H_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"2"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"33H_1"	"12C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"3"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"34H_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"4"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"35H_1"	"12C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"5"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"36H_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"6"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"37H_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"1"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"38H_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"2"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"39H_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"3"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"40H_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"4"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"41H_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"5"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"42H_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"6"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"43H_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"1"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"44H_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"2"	""	""
