"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Anabolic treatment]"	"Term Source REF"	"Term Accession Number"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_14"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_15"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_16"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_17"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_18"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_19"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_20"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_21"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_22"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_23"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_24"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_25"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_26"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_27"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_28"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_29"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_30"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_31"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_32"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"QC_liver_01"	"Quality Control"	"DCM"	"http://dicom.nema.org/resources/ontology/DCM/110002"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"QC_liver_02"	"Quality Control"	"DCM"	"http://dicom.nema.org/resources/ontology/DCM/110002"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"QC_liver_03"	"Quality Control"	"DCM"	"http://dicom.nema.org/resources/ontology/DCM/110002"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"QC_liver_04"	"Quality Control"	"DCM"	"http://dicom.nema.org/resources/ontology/DCM/110002"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"QC_liver_05"	"Quality Control"	"DCM"	"http://dicom.nema.org/resources/ontology/DCM/110002"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"QC_liver_06"	"Quality Control"	"DCM"	"http://dicom.nema.org/resources/ontology/DCM/110002"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"QC_liver_07"	"Quality Control"	"DCM"	"http://dicom.nema.org/resources/ontology/DCM/110002"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"QC_liver_08"	"Quality Control"	"DCM"	"http://dicom.nema.org/resources/ontology/DCM/110002"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_01"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_02"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_03"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_04"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_05"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_06"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_07"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_08"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_09"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_10"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_11"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_12"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_13"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_14"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_15"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_16"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_17"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_18"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_19"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_20"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_21"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_22"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_23"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_24"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_25"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_26"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_T_27"	"Anabolic steroids"	"LOINC"	"http://purl.bioontology.org/ontology/LNC/LP17877-9"
