"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[nutrient]"	"Term Source REF"	"Term Accession Number"	"Factor Value[growth rate]"	"Term Source REF"	"Term Accession Number"
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"9_1"	"Carbon limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"10_1"	"Nitrogen limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"10_2"	"Nitrogen limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"10_3"	"Nitrogen limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"11_1"	"Nitrogen limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"12_1"	"Nitrogen limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"13_1"	"Nitrogen limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"14_1"	"Nitrogen limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"15_1"	"Nitrogen limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"16_1"	"Nitrogen limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"17_1"	"Nitrogen limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"18_1"	"Nitrogen limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"19_1"	"Phosphate limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"19_2"	"Phosphate limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"19_3"	"Phosphate limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20_1"	"Phosphate limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"21_1"	"Phosphate limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"22_1"	"Phosphate limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_1"	"Phosphate limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"24_1"	"Phosphate limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"25_1"	"Phosphate limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_1"	"Phosphate limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"27_1"	"Phosphate limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"28_4"	"Sulphate limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"28_5"	"Sulphate limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"28_6"	"Sulphate limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"29_2"	"Sulphate limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_1"	"Sulphate limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"31_1"	"Sulphate limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"32_1"	"Sulphate limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"33_1"	"Sulphate limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"34_1"	"Sulphate limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"35_1"	"Sulphate limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"36_1"	"Sulphate limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"37_1"	"Ethanol limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"37_2"	"Ethanol limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"37_3"	"Ethanol limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"38_1"	"Ethanol limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_1"	"Ethanol limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"40_1"	"Ethanol limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"41_1"	"Ethanol limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"42_1"	"Ethanol limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"46_1"	"Glucose/O2 limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"46_2"	"Glucose/O2 limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"46_3"	"Glucose/O2 limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"47_1"	"Glucose/O2 limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"48_1"	"Glucose/O2 limiting"	""	""	"0.07"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"49_1"	"Glucose/O2 limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_1"	"Glucose/O2 limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"51_1"	"Glucose/O2 limiting"	""	""	"0.1"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"52_1"	"Glucose/O2 limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"53_1"	"Glucose/O2 limiting"	""	""	"0.2"	""	""
"Internal/Endometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"54_1"	"Glucose/O2 limiting"	""	""	"0.2"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"55_1"	"Carbon limiting"	""	""	"0.07"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"55_2"	"Carbon limiting"	""	""	"0.07"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"55_3"	"Carbon limiting"	""	""	"0.07"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"56_1"	"Carbon limiting"	""	""	"0.07"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"57_1"	"Carbon limiting"	""	""	"0.07"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"58_1"	"Carbon limiting"	""	""	"0.1"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"59_1"	"Carbon limiting"	""	""	"0.1"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"60_1"	"Carbon limiting"	""	""	"0.1"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"61_1"	"Carbon limiting"	""	""	"0.2"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"62_1"	"Carbon limiting"	""	""	"0.2"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"63_1"	"Carbon limiting"	""	""	"0.2"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"64_1"	"Nitrogen limiting"	""	""	"0.07"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"64_2"	"Nitrogen limiting"	""	""	"0.07"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"64_3"	"Nitrogen limiting"	""	""	"0.07"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"65_1"	"Nitrogen limiting"	""	""	"0.07"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"66_1"	"Nitrogen limiting"	""	""	"0.07"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"67_1"	"Nitrogen limiting"	""	""	"0.1"	""	""
"External/Exometabolome"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain FY1679"	""	""	"exometabolome"	""	""	"Sample collection"	"68_1"	"Nitrogen limiting"	""	""	"0.1"	""	""
