"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Virus]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time Collected]"	"Unit"	"Term Source REF"	"Term Accession Number"
"SysVirol_IFL001_1918_d3_282_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d3_282_lipid__Pos_Gimli_06Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d3_282_lipid_Neg_Gimli_23Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d3_282_lipid_Neg_Gimli_23Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d8_277_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d8_277_lipid__Neg_17Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d8_277_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d8_277_lipid__Pos_Gimli_06Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d8_278_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d8_278_lipid__Pos_Gimli_06Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d8_278_lipid_Neg_Gimli_23Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d8_278_lipid_Neg_Gimli_23Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d8_279_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d8_279_lipid__Neg_17Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d8_279_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d8_279_lipid__Pos_Gimli_06Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d1_283_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d1_283_lipid__Neg_17Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d1_283_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d1_283_lipid__Pos_Gimli_06Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d1_284_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d1_284_lipid__Neg_17Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d1_284_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d1_284_lipid__Pos_Gimli_06Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d1_285_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d1_285_lipid__Pos_Gimli_06Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d1_285_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d1_285_lipid_Neg_Gimli_19Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d3_275_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d3_275_lipid__Neg_17Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d3_275_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d3_275_lipid__Pos_Gimli_06Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d3_276_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d3_276_lipid__Neg_17Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d3_276_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d3_276_lipid__Pos_Gimli_06Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d3_295_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d3_295_lipid__Neg_17Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d3_295_lipid__Po_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d3_295_lipid__Po_Gimli_06Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d8_286_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d8_286_lipid__Neg_17Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d8_286_lipid__Pos_b_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d8_286_lipid__Pos_b_Gimli_06Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d8_287_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d8_287_lipid__Neg_17Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d8_287_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d8_287_lipid__Pos_Gimli_06Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d8_288_lipid__Neg_16Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d8_288_lipid__Neg_16Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_Cal04RG_d8_288_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_Cal04RG_d8_288_lipid__Pos_Gimli_06Sep13_13-07-01"	"Cal04RG"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_mock_d1_289_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_mock_d1_289_lipid__Neg_17Sep13_13-07-01"	"mock"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_mock_d1_289_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_mock_d1_289_lipid__Pos_Gimli_06Sep13_13-07-01"	"mock"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_mock_d1_290_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_mock_d1_290_lipid__Neg_17Sep13_13-07-01"	"mock"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_mock_d1_290_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_mock_d1_290_lipid__Pos_Gimli_06Sep13_13-07-01"	"mock"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_mock_d1_291_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_mock_d1_291_lipid__Neg_17Sep13_13-07-01"	"mock"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_mock_d1_291_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_mock_d1_291_lipid__Pos_Gimli_06Sep13_13-07-01"	"mock"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
